1479	486163399114993267.wav	سونا کو ہر طرح کی شکلوں میں ڈھالا جاسکتا ہے۔ اس کو چھوٹی سے چھوٹی شکل دی جاسکتی ہے۔	سونا کو ہر طرح کی شکلوں میں ڈھالا جاسکتا ہے اس کو چھوٹی سے چھوٹی شکل دی جاسکتی ہے	س و ن ا | ک و | ہ ر | ط ر ح | ک ی | ش ک ل و ں | م ی ں | ڈ ھ ا ل ا | ج ا س ک ت ا | ہ ے | ا س | ک و | چ ھ و ٹ ی | س ے | چ ھ و ٹ ی | ش ک ل | د ی | ج ا س ک ت ی | ہ ے |	120000	FEMALE
871	4033942045808332107.wav	اگر آپ باہر کیمپ لگانے جارہے ہیں، تو آپ اپنے آپ کو سانپ، بچھو جیسی چیزوں سے دور رکھنے کے لئے کیمپ کی چارپائی یا جهولن کهٹول لائیں۔	اگر آپ باہر کیمپ لگانے جارہے ہیں تو آپ اپنے آپ کو سانپ بچھو جیسی چیزوں سے دور رکھنے کے لئے کیمپ کی چارپائی یا جہولن کہٹول لائیں	ا گ ر | آ پ | ب ا ہ ر | ک ی م پ | ل گ ا ن ے | ج ا ر ہ ے | ہ ی ں | ت و | آ پ | ا پ ن ے | آ پ | ک و | س ا ن پ | ب چ ھ و | ج ی س ی | چ ی ز و ں | س ے | د و ر | ر ک ھ ن ے | ک ے | ل ئ ے | ک ی م پ | ک ی | چ ا ر پ ا ئ ی | ی ا | ج ہ و ل ن | ک ہ ٹ و ل | ل ا ئ ی ں |	167040	FEMALE
258	711307459407393663.wav	تاہم، خطرے کی سطح کو شدید زمرے سے کم کرنے کا مطلب یہ نہیں ہے کہ مجموعی طور پر خطرہ دور ہو گیا ہے۔"	تاہم خطرے کی سطح کو شدید زمرے سے کم کرنے کا مطلب یہ نہیں ہے کہ مجموعی طور پر خطرہ دور ہو گیا ہے	ت ا ہ م | خ ط ر ے | ک ی | س ط ح | ک و | ش د ی د | ز م ر ے | س ے | ک م | ک ر ن ے | ک ا | م ط ل ب | ی ہ | ن ہ ی ں | ہ ے | ک ہ | م ج م و ع ی | ط و ر | پ ر | خ ط ر ہ | د و ر | ہ و | گ ی ا | ہ ے |	172800	MALE
421	9871544921038046.wav	15 ویں صدی کے اس پاس، ثقافتی طور پر شمالی ایسٹونیا جرمنی کے زیر اثر تھا۔	15 ویں صدی کے اس پاس ثقافتی طور پر شمالی ایسٹونیا جرمنی کے زیر اثر تھا	1 5 | و ی ں | ص د ی | ک ے | ا س | پ ا س | ث ق ا ف ت ی | ط و ر | پ ر | ش م ا ل ی | ا ی س ٹ و ن ی ا | ج ر م ن ی | ک ے | ز ی ر | ا ث ر | ت ھ ا |	125760	MALE
1337	3427528585544619682.wav	آسٹریا، جرمنی، سلووینیا، بلغاریہ، یونان اور اٹلی کے بعد؛ فرانس اس وائرس میں مبتلا یورپی یونین کا ساتواں ملک ہے۔	آسٹریا جرمنی سلووینیا بلغاریہ یونان اور اٹلی کے بعد فرانس اس وائرس میں مبتلا یورپی یونین کا ساتواں ملک ہے	آ س ٹ ر ی ا | ج ر م ن ی | س ل و و ی ن ی ا | ب ل غ ا ر ی ہ | ی و ن ا ن | ا و ر | ا ٹ ل ی | ک ے | ب ع د | ف ر ا ن س | ا س | و ا ئ ر س | م ی ں | م ب ت ل ا | ی و ر پ ی | ی و ن ی ن | ک ا | س ا ت و ا ں | م ل ک | ہ ے |	158400	FEMALE
77	12147593416523294759.wav	تاہم، انہوں نے اپنے پہلے بیان کا اعادہ کیا کہ رو وی ویڈ ہی "ملک کا مقررہ قانون" ہے، جس سے سپریم کورٹ کے مستقل احکام کی اہمیت کی تاکید ہوتی ہے۔	تاہم انہوں نے اپنے پہلے بیان کا اعادہ کیا کہ رو وی ویڈ ہی ملک کا مقررہ قانون ہے جس سے سپریم کورٹ کے مستقل احکام کی اہمیت کی تاکید ہوتی ہے	ت ا ہ م | ا ن ہ و ں | ن ے | ا پ ن ے | پ ہ ل ے | ب ی ا ن | ک ا | ا ع ا د ہ | ک ی ا | ک ہ | ر و | و ی | و ی ڈ | ہ ی | م ل ک | ک ا | م ق ر ر ہ | ق ا ن و ن | ہ ے | ج س | س ے | س پ ر ی م | ک و ر ٹ | ک ے | م س ت ق ل | ا ح ک ا م | ک ی | ا ہ م ی ت | ک ی | ت ا ک ی د | ہ و ت ی | ہ ے |	288960	MALE
1384	8239880466360018046.wav	ڈی- ڈے لینڈنگ اور اس کے بعد کی لڑائیوں کے نتیجے میں فرانس کا شمالی علاقہ آزاد ہوگیا تھا، لیکن اس کا جنوب اب بھی آزاد نہیں ہوا تھا۔	ڈی ڈے لینڈنگ اور اس کے بعد کی لڑائیوں کے نتیجے میں فرانس کا شمالی علاقہ آزاد ہوگیا تھا لیکن اس کا جنوب اب بھی آزاد نہیں ہوا تھا	ڈ ی | ڈ ے | ل ی ن ڈ ن گ | ا و ر | ا س | ک ے | ب ع د | ک ی | ل ڑ ا ئ ی و ں | ک ے | ن ت ی ج ے | م ی ں | ف ر ا ن س | ک ا | ش م ا ل ی | ع ل ا ق ہ | آ ز ا د | ہ و گ ی ا | ت ھ ا | ل ی ک ن | ا س | ک ا | ج ن و ب | ا ب | ب ھ ی | آ ز ا د | ن ہ ی ں | ہ و ا | ت ھ ا |	188160	MALE
124	12676902804115846163.wav	U.S. کے مطابق اسے ایک پوشیدہ ذریعے سے معلومات موصول ہوئی ہیں جو خاص طور پر ایتھوپیا اور کینیا میں “نمایاں علاقوں” کو تباہ کرنے کے لیے خودکش بمباروں کو استعمال کرنے کی نشاندہی کرتی ہیں۔	u.s. کے مطابق اسے ایک پوشیدہ ذریعے سے معلومات موصول ہوئی ہیں جو خاص طور پر ایتھوپیا اور کینیا میں نمایاں علاقوں کو تباہ کرنے کے لیے خودکش بمباروں کو استعمال کرنے کی نشاندہی کرتی ہیں	u . s . | ک ے | م ط ا ب ق | ا س ے | ا ی ک | پ و ش ی د ہ | ذ ر ی ع ے | س ے | م ع ل و م ا ت | م و ص و ل | ہ و ئ ی | ہ ی ں | ج و | خ ا ص | ط و ر | پ ر | ا ی ت ھ و پ ی ا | ا و ر | ک ی ن ی ا | م ی ں | ن م ا ی ا ں | ع ل ا ق و ں | ک و | ت ب ا ہ | ک ر ن ے | ک ے | ل ی ے | خ و د ک ش | ب م ب ا ر و ں | ک و | ا س ت ع م ا ل | ک ر ن ے | ک ی | ن ش ا ن د ہ ی | ک ر ت ی | ہ ی ں |	234240	FEMALE
1169	9206125929721993709.wav	امیزن ندی دوسری سب سے لمبی اور زمین کی سب بڑی ندی ہے۔ اسمیں دوسری سب سے بڑی ندی کے مقابلے 8 گنا پانی بہتا ہے۔	امیزن ندی دوسری سب سے لمبی اور زمین کی سب بڑی ندی ہے اسمیں دوسری سب سے بڑی ندی کے مقابلے 8 گنا پانی بہتا ہے	ا م ی ز ن | ن د ی | د و س ر ی | س ب | س ے | ل م ب ی | ا و ر | ز م ی ن | ک ی | س ب | ب ڑ ی | ن د ی | ہ ے | ا س م ی ں | د و س ر ی | س ب | س ے | ب ڑ ی | ن د ی | ک ے | م ق ا ب ل ے | 8 | گ ن ا | پ ا ن ی | ب ہ ت ا | ہ ے |	144000	FEMALE
914	17807865683568761649.wav	اکثر آپ کو ایک عالمی نمبر الگ سے خریدنا پڑتا ہے جو آپ کے لیے پی ایس ٹی این فون سے کال کرنا ممکن بناتا ہے۔ جہاں سے نمبر آتا ہے اس سے آپ کو کال کرنے والے لوگوں کو فرق پڑتا ہے۔	اکثر آپ کو ایک عالمی نمبر الگ سے خریدنا پڑتا ہے جو آپ کے لیے پی ایس ٹی این فون سے کال کرنا ممکن بناتا ہے جہاں سے نمبر آتا ہے اس سے آپ کو کال کرنے والے لوگوں کو فرق پڑتا ہے	ا ک ث ر | آ پ | ک و | ا ی ک | ع ا ل م ی | ن م ب ر | ا ل گ | س ے | خ ر ی د ن ا | پ ڑ ت ا | ہ ے | ج و | آ پ | ک ے | ل ی ے | پ ی | ا ی س | ٹ ی | ا ی ن | ف و ن | س ے | ک ا ل | ک ر ن ا | م م ک ن | ب ن ا ت ا | ہ ے | ج ہ ا ں | س ے | ن م ب ر | آ ت ا | ہ ے | ا س | س ے | آ پ | ک و | ک ا ل | ک ر ن ے | و ا ل ے | ل و گ و ں | ک و | ف ر ق | پ ڑ ت ا | ہ ے |	222720	FEMALE
1099	9375298358765570464.wav	جب لانچنگ میں تقریبا 3 منٹ تھے، تو ایک آن-بورڈ کیمرہ میں ایندھن کے ٹینک سے انسیولیشن فوم کے بے شمار ٹکڑے ٹوٹ کر گرتے نظر آئے۔	جب لانچنگ میں تقریبا 3 منٹ تھے تو ایک آن-بورڈ کیمرہ میں ایندھن کے ٹینک سے انسیولیشن فوم کے بے شمار ٹکڑے ٹوٹ کر گرتے نظر آئے	ج ب | ل ا ن چ ن گ | م ی ں | ت ق ر ی ب ا | 3 | م ن ٹ | ت ھ ے | ت و | ا ی ک | آ ن - ب و ر ڈ | ک ی م ر ہ | م ی ں | ا ی ن د ھ ن | ک ے | ٹ ی ن ک | س ے | ا ن س ی و ل ی ش ن | ف و م | ک ے | ب ے | ش م ا ر | ٹ ک ڑ ے | ٹ و ٹ | ک ر | گ ر ت ے | ن ظ ر | آ ئ ے |	173760	FEMALE
4	4396596294873765423.wav	پائلٹ کو اسکواڈرن لیڈر ڈیلوکرٹ پٹاوی کے نام سے شناخت کیا گیا۔	پائلٹ کو اسکواڈرن لیڈر ڈیلوکرٹ پٹاوی کے نام سے شناخت کیا گیا	پ ا ئ ل ٹ | ک و | ا س ک و ا ڈ ر ن | ل ی ڈ ر | ڈ ی ل و ک ر ٹ | پ ٹ ا و ی | ک ے | ن ا م | س ے | ش ن ا خ ت | ک ی ا | گ ی ا |	102720	FEMALE
1346	15673579012133024860.wav	ٹوکیو گیم شو میں جمعرات کو کلیدی نوٹ کی پیشکش میں ستورو لواٹا کے صدر ننٹینڈو کے صدر نے کمپنی کے نئے ننٹینڈو ریولیوشن کنسول کیلئے کنٹرول ڈیزائن کی نقاب کشائی کی۔	ٹوکیو گیم شو میں جمعرات کو کلیدی نوٹ کی پیشکش میں ستورو لواٹا کے صدر ننٹینڈو کے صدر نے کمپنی کے نئے ننٹینڈو ریولیوشن کنسول کیلئے کنٹرول ڈیزائن کی نقاب کشائی کی	ٹ و ک ی و | گ ی م | ش و | م ی ں | ج م ع ر ا ت | ک و | ک ل ی د ی | ن و ٹ | ک ی | پ ی ش ک ش | م ی ں | س ت و ر و | ل و ا ٹ ا | ک ے | ص د ر | ن ن ٹ ی ن ڈ و | ک ے | ص د ر | ن ے | ک م پ ن ی | ک ے | ن ئ ے | ن ن ٹ ی ن ڈ و | ر ی و ل ی و ش ن | ک ن س و ل | ک ی ل ئ ے | ک ن ٹ ر و ل | ڈ ی ز ا ئ ن | ک ی | ن ق ا ب | ک ش ا ئ ی | ک ی |	303360	MALE
671	6412393155320928482.wav	اجازت نامے وادی کی حفاظت تک محدود ہیں، اور ابتدائی مہینے سے چار ماہ قبل ہی مہینے کی پہلی تاریخ کو مہیا ہوجاتے ہیں۔	اجازت نامے وادی کی حفاظت تک محدود ہیں اور ابتدائی مہینے سے چار ماہ قبل ہی مہینے کی پہلی تاریخ کو مہیا ہوجاتے ہیں	ا ج ا ز ت | ن ا م ے | و ا د ی | ک ی | ح ف ا ظ ت | ت ک | م ح د و د | ہ ی ں | ا و ر | ا ب ت د ا ئ ی | م ہ ی ن ے | س ے | چ ا ر | م ا ہ | ق ب ل | ہ ی | م ہ ی ن ے | ک ی | پ ہ ل ی | ت ا ر ی خ | ک و | م ہ ی ا | ہ و ج ا ت ے | ہ ی ں |	166080	FEMALE
536	7846374376985129265.wav	یہ تب واقع ہوتا ہے جب لوگ سکون پانے اور لطف اندوز ہونے کے لیے اپنی روز بہ روز کی باقاعدہ زندگی سے بالکل مختلف جگہ پر جاتے ہیں۔	یہ تب واقع ہوتا ہے جب لوگ سکون پانے اور لطف اندوز ہونے کے لیے اپنی روز بہ روز کی باقاعدہ زندگی سے بالکل مختلف جگہ پر جاتے ہیں	ی ہ | ت ب | و ا ق ع | ہ و ت ا | ہ ے | ج ب | ل و گ | س ک و ن | پ ا ن ے | ا و ر | ل ط ف | ا ن د و ز | ہ و ن ے | ک ے | ل ی ے | ا پ ن ی | ر و ز | ب ہ | ر و ز | ک ی | ب ا ق ا ع د ہ | ز ن د گ ی | س ے | ب ا ل ک ل | م خ ت ل ف | ج گ ہ | پ ر | ج ا ت ے | ہ ی ں |	177600	FEMALE
1170	479071515613919487.wav	ہم ان بچوں کے لیے رضاعی نگہداشتی نظام کو حفاظتی زون سمجھتے ہیں۔	ہم ان بچوں کے لیے رضاعی نگہداشتی نظام کو حفاظتی زون سمجھتے ہیں	ہ م | ا ن | ب چ و ں | ک ے | ل ی ے | ر ض ا ع ی | ن گ ہ د ا ش ت ی | ن ظ ا م | ک و | ح ف ا ظ ت ی | ز و ن | س م ج ھ ت ے | ہ ی ں |	124800	FEMALE
468	16554206360653502707.wav	سردست کربی میکسلو قلعہ ایک حقیقی قلعے سے زیادہ ایک مضبوط گھر کی حیثیت رکھتا ہے۔	سردست کربی میکسلو قلعہ ایک حقیقی قلعے سے زیادہ ایک مضبوط گھر کی حیثیت رکھتا ہے	س ر د س ت | ک ر ب ی | م ی ک س ل و | ق ل ع ہ | ا ی ک | ح ق ی ق ی | ق ل ع ے | س ے | ز ی ا د ہ | ا ی ک | م ض ب و ط | گ ھ ر | ک ی | ح ی ث ی ت | ر ک ھ ت ا | ہ ے |	145920	FEMALE
481	17410073081847524931.wav	باجے پر اضافی حجم حاصل کرنے کے لئے آپ زیادہ دباؤ یا رفتار کے ساتھ کمانوں کا استعمال کرتے ہیں۔	باجے پر اضافی حجم حاصل کرنے کے لئے آپ زیادہ دباؤ یا رفتار کے ساتھ کمانوں کا استعمال کرتے ہیں	ب ا ج ے | پ ر | ا ض ا ف ی | ح ج م | ح ا ص ل | ک ر ن ے | ک ے | ل ئ ے | آ پ | ز ی ا د ہ | د ب ا ؤ | ی ا | ر ف ت ا ر | ک ے | س ا ت ھ | ک م ا ن و ں | ک ا | ا س ت ع م ا ل | ک ر ت ے | ہ ی ں |	130560	MALE
717	8947909648630342576.wav	16 ویں صدی میں جب دیسی اراوکینیوں (ماپوچے) کے وسطی اور جنوبی چلی میں آباد تھے ہسپانوی لوگوں کی آمد سے قبل، شمالی چلی پر ان کی حکومت تھی۔	16 ویں صدی میں جب دیسی اراوکینیوں ماپوچے کے وسطی اور جنوبی چلی میں آباد تھے ہسپانوی لوگوں کی آمد سے قبل، شمالی چلی پر ان کی حکومت تھی۔	1 6 | و ی ں | ص د ی | م ی ں | ج ب | د ی س ی | ا ر ا و ک ی ن ی و ں | م ا پ و چ ے | ک ے | و س ط ی | ا و ر | ج ن و ب ی | چ ل ی | م ی ں | آ ب ا د | ت ھ ے | ہ س پ ا ن و ی | ل و گ و ں | ک ی | آ م د | س ے | ق ب ل ، | ش م ا ل ی | چ ل ی | پ ر | ا ن | ک ی | ح ک و م ت | ت ھ ی ۔ |	146880	FEMALE
520	1949865908177081243.wav	دو سے تین ملین سال پرانی رکازی ہاتھ کی ہڈّیاں نقل و حرکت سے برتنے کے سلیقے کی ہاتھ کی خصوصیت میں یہ تبدیلی ظاہر کرتی ہیں۔	دو سے تین ملین سال پرانی رکازی ہاتھ کی ہڈّیاں نقل و حرکت سے برتنے کے سلیقے کی ہاتھ کی خصوصیت میں یہ تبدیلی ظاہر کرتی ہیں	د و | س ے | ت ی ن | م ل ی ن | س ا ل | پ ر ا ن ی | ر ک ا ز ی | ہ ا ت ھ | ک ی | ہ ڈ ّ ی ا ں | ن ق ل | و | ح ر ک ت | س ے | ب ر ت ن ے | ک ے | س ل ی ق ے | ک ی | ہ ا ت ھ | ک ی | خ ص و ص ی ت | م ی ں | ی ہ | ت ب د ی ل ی | ظ ا ہ ر | ک ر ت ی | ہ ی ں |	190080	FEMALE
584	2649793105268911316.wav	اِن عظیم الجثہ طوفانوں میں 480 کلومیٹر/گھنٹہ (133 میل/سیکنڈ؛ 300 میٹر فی گھنٹہ) تک کی ہوائیں موجود ہیں۔	اِن عظیم الجثہ طوفانوں میں 480 کلومیٹر/گھنٹہ 133 میل/سیکنڈ؛ 300 میٹر فی گھنٹہ تک کی ہوائیں موجود ہیں۔	ا ِ ن | ع ظ ی م | ا ل ج ث ہ | ط و ف ا ن و ں | م ی ں | 4 8 0 | ک ل و م ی ٹ ر / گ ھ ن ٹ ہ | 1 3 3 | م ی ل / س ی ک ن ڈ ؛ | 3 0 0 | م ی ٹ ر | ف ی | گ ھ ن ٹ ہ | ت ک | ک ی | ہ و ا ئ ی ں | م و ج و د | ہ ی ں ۔ |	180480	FEMALE
