1246	15844514211231253015.wav	في أواخر عام 2015، أنشأت "توجي نت" راديو "أسترو نت " كمحطة إذاعية تابعة.	في أواخر عام 2015، أنشأت توجي نت راديو أسترو نت  كمحطة إذاعية تابعة	ف ي | أ و ا خ ر | ع ا م | 2 0 1 5 ، | أ ن ش أ ت | ت و ج ي | ن ت | ر ا د ي و | أ س ت ر و | ن ت | ك م ح ط ة | إ ذ ا ع ي ة | ت ا ب ع ة |	135360	MALE
199	13266472175018928632.wav	بصرف النظر عن الحمى والتهاب الحلق، أشعر أنني بحالة جيدة وفي حالة جيدة للقيام بعملي من خلال العمل عن بعد.	بصرف النظر عن الحمى والتهاب الحلق أشعر أنني بحالة جيدة وفي حالة جيدة للقيام بعملي من خلال العمل عن بعد	ب ص ر ف | ا ل ن ظ ر | ع ن | ا ل ح م ى | و ا ل ت ه ا ب | ا ل ح ل ق | أ ش ع ر | أ ن ن ي | ب ح ا ل ة | ج ي د ة | و ف ي | ح ا ل ة | ج ي د ة | ل ل ق ي ا م | ب ع م ل ي | م ن | خ ل ا ل | ا ل ع م ل | ع ن | ب ع د |	130560	MALE
1116	10496442301965168016.wav	لقد غرقت جميع السفن باستثناء طراد بريطاني واحد. وغرق وما يقرب من 200 شخص أمريكي وألماني.	لقد غرقت جميع السفن باستثناء طراد بريطاني واحد وغرق وما يقرب من 200 شخص أمريكي وألماني	ل ق د | غ ر ق ت | ج م ي ع | ا ل س ف ن | ب ا س ت ث ن ا ء | ط ر ا د | ب ر ي ط ا ن ي | و ا ح د | و غ ر ق | و م ا | ي ق ر ب | م ن | 2 0 0 | ش خ ص | أ م ر ي ك ي | و أ ل م ا ن ي |	111360	FEMALE
839	1059187466836298302.wav	يوجد تداخل كبير ما بين الهندسة والمجالات الأخرى وتشمل التخطيط الحضري والهندسة المدنية والفنون الزخرفية والتصميم الداخلي وتصميم المناظر الطبيعية.	يوجد تداخل كبير ما بين الهندسة والمجالات الأخرى وتشمل التخطيط الحضري والهندسة المدنية والفنون الزخرفية والتصميم الداخلي وتصميم المناظر الطبيعية	ي و ج د | ت د ا خ ل | ك ب ي ر | م ا | ب ي ن | ا ل ه ن د س ة | و ا ل م ج ا ل ا ت | ا ل أ خ ر ى | و ت ش م ل | ا ل ت خ ط ي ط | ا ل ح ض ر ي | و ا ل ه ن د س ة | ا ل م د ن ي ة | و ا ل ف ن و ن | ا ل ز خ ر ف ي ة | و ا ل ت ص م ي م | ا ل د ا خ ل ي | و ت ص م ي م | ا ل م ن ا ظ ر | ا ل ط ب ي ع ي ة |	226560	FEMALE
239	18126045932634213849.wav	أضاف ستوفان، "على حد علمنا، ثمة جسم كوكبي واحد فقط ذو ديناميكية أكثر من تيتان يُسمى الأرض".	أضاف ستوفان على حد علمنا ثمة جسم كوكبي واحد فقط ذو ديناميكية أكثر من تيتان يُسمى الأرض	أ ض ا ف | س ت و ف ا ن | ع ل ى | ح د | ع ل م ن ا | ث م ة | ج س م | ك و ك ب ي | و ا ح د | ف ق ط | ذ و | د ي ن ا م ي ك ي ة | أ ك ث ر | م ن | ت ي ت ا ن | ي ُ س م ى | ا ل أ ر ض |	173760	MALE
248	9715187396761192520.wav	هؤلاء الوكلاء مسؤولون عن تقديم الخدمات الحكومية و القضائية بموجب المادة 247 من الدستور الباكستاني.	هؤلاء الوكلاء مسؤولون عن تقديم الخدمات الحكومية و القضائية بموجب المادة 247 من الدستور الباكستاني	ه ؤ ل ا ء | ا ل و ك ل ا ء | م س ؤ و ل و ن | ع ن | ت ق د ي م | ا ل خ د م ا ت | ا ل ح ك و م ي ة | و | ا ل ق ض ا ئ ي ة | ب م و ج ب | ا ل م ا د ة | 2 4 7 | م ن | ا ل د س ت و ر | ا ل ب ا ك س ت ا ن ي |	152640	FEMALE
593	18408460272162566903.wav	تتكون الحيوانات من الكثير من الخلايا. إنهم يأكلون المواد ويهضمونها بداخلهم. يمكن لغالبية الحيوانات التنقل.	تتكون الحيوانات من الكثير من الخلايا إنهم يأكلون المواد ويهضمونها بداخلهم يمكن لغالبية الحيوانات التنقل	ت ت ك و ن | ا ل ح ي و ا ن ا ت | م ن | ا ل ك ث ي ر | م ن | ا ل خ ل ا ي ا | إ ن ه م | ي أ ك ل و ن | ا ل م و ا د | و ي ه ض م و ن ه ا | ب د ا خ ل ه م | ي م ك ن | ل غ ا ل ب ي ة | ا ل ح ي و ا ن ا ت | ا ل ت ن ق ل |	142080	FEMALE
1359	12130221775215146525.wav	تتلاشى الثقافات الصغرى في كثير من الأحيان دون أن تترك أي دليل تاريخي فعلي ولا يُعترف بها باعتبارها حضارات حقيقية.	تتلاشى الثقافات الصغرى في كثير من الأحيان دون أن تترك أي دليل تاريخي فعلي ولا يُعترف بها باعتبارها حضارات حقيقية	ت ت ل ا ش ى | ا ل ث ق ا ف ا ت | ا ل ص غ ر ى | ف ي | ك ث ي ر | م ن | ا ل أ ح ي ا ن | د و ن | أ ن | ت ت ر ك | أ ي | د ل ي ل | ت ا ر ي خ ي | ف ع ل ي | و ل ا | ي ُ ع ت ر ف | ب ه ا | ب ا ع ت ب ا ر ه ا | ح ض ا ر ا ت | ح ق ي ق ي ة |	159360	FEMALE
1216	2402288746897121345.wav	تقع شواطئ نورث شور (في منطقة نورث هاربور) على المحيط الهادئ وتمتد من لونج باي في الشمال إلى ديفونبورت في الجنوب.	تقع شواطئ نورث شور في منطقة نورث هاربور على المحيط الهادئ وتمتد من لونج باي في الشمال إلى ديفونبورت في الجنوب	ت ق ع | ش و ا ط ئ | ن و ر ث | ش و ر | ف ي | م ن ط ق ة | ن و ر ث | ه ا ر ب و ر | ع ل ى | ا ل م ح ي ط | ا ل ه ا د ئ | و ت م ت د | م ن | ل و ن ج | ب ا ي | ف ي | ا ل ش م ا ل | إ ل ى | د ي ف و ن ب و ر ت | ف ي | ا ل ج ن و ب |	175680	FEMALE
1301	5959138811951540641.wav	وقد أظهر من خلال بحثه أنه عند إعطاء أحد الهرمونات فإنه سيسرع من نضوج الرئة عند الجنين.	وقد أظهر من خلال بحثه أنه عند إعطاء أحد الهرمونات فإنه سيسرع من نضوج الرئة عند الجنين	و ق د | أ ظ ه ر | م ن | خ ل ا ل | ب ح ث ه | أ ن ه | ع ن د | إ ع ط ا ء | أ ح د | ا ل ه ر م و ن ا ت | ف إ ن ه | س ي س ر ع | م ن | ن ض و ج | ا ل ر ئ ة | ع ن د | ا ل ج ن ي ن |	158400	FEMALE
907	15925276575643030405.wav	فهي تتميزعلى بروكسي الويب لعدة أسباب: فهي تعيد توجيه جميع حركات المرور على الإنترنت، وليس فقط عبر بروتوكول نقل النص الفائق.	فهي تتميزعلى بروكسي الويب لعدة أسباب فهي تعيد توجيه جميع حركات المرور على الإنترنت وليس فقط عبر بروتوكول نقل النص الفائق	ف ه ي | ت ت م ي ز ع ل ى | ب ر و ك س ي | ا ل و ي ب | ل ع د ة | أ س ب ا ب | ف ه ي | ت ع ي د | ت و ج ي ه | ج م ي ع | ح ر ك ا ت | ا ل م ر و ر | ع ل ى | ا ل إ ن ت ر ن ت | و ل ي س | ف ق ط | ع ب ر | ب ر و ت و ك و ل | ن ق ل | ا ل ن ص | ا ل ف ا ئ ق |	178560	FEMALE
811	4282607029231214018.wav	تجمع رياضة الأودية بين عناصر من السباحة والتسلق والقفز - ولكنها تتطلب القليل نسبياً من التدريب أو الشكل البدني للبدء (مقارنة بتسلق الصخور أو الغوص تحت الماء أو التزلج على جبال الألب، على سبيل المثال).	تجمع رياضة الأودية بين عناصر من السباحة والتسلق والقفز - ولكنها تتطلب القليل نسبياً من التدريب أو الشكل البدني للبدء مقارنة بتسلق الصخور أو الغوص تحت الماء أو التزلج على جبال الألب، على سبيل المثال	ت ج م ع | ر ي ا ض ة | ا ل أ و د ي ة | ب ي ن | ع ن ا ص ر | م ن | ا ل س ب ا ح ة | و ا ل ت س ل ق | و ا ل ق ف ز | - | و ل ك ن ه ا | ت ت ط ل ب | ا ل ق ل ي ل | ن س ب ي ا ً | م ن | ا ل ت د ر ي ب | أ و | ا ل ش ك ل | ا ل ب د ن ي | ل ل ب د ء | م ق ا ر ن ة | ب ت س ل ق | ا ل ص خ و ر | أ و | ا ل غ و ص | ت ح ت | ا ل م ا ء | أ و | ا ل ت ز ل ج | ع ل ى | ج ب ا ل | ا ل أ ل ب ، | ع ل ى | س ب ي ل | ا ل م ث ا ل |	235200	FEMALE
807	12429535011208029581.wav	قد تواجه الإطارات ذات العلامات التجارية الراقية المتوفرة في هذه المناطق مشكلتين؛ قد يكون بعضها مقلدة، وقد تكون المنتجات المستوردة الحقيقية أغلى منها في موطنها.	قد تواجه الإطارات ذات العلامات التجارية الراقية المتوفرة في هذه المناطق مشكلتين قد يكون بعضها مقلدة وقد تكون المنتجات المستوردة الحقيقية أغلى منها في موطنها	ق د | ت و ا ج ه | ا ل إ ط ا ر ا ت | ذ ا ت | ا ل ع ل ا م ا ت | ا ل ت ج ا ر ي ة | ا ل ر ا ق ي ة | ا ل م ت و ف ر ة | ف ي | ه ذ ه | ا ل م ن ا ط ق | م ش ك ل ت ي ن | ق د | ي ك و ن | ب ع ض ه ا | م ق ل د ة | و ق د | ت ك و ن | ا ل م ن ت ج ا ت | ا ل م س ت و ر د ة | ا ل ح ق ي ق ي ة | أ غ ل ى | م ن ه ا | ف ي | م و ط ن ه ا |	179520	MALE
1130	12740654332797945441.wav	يرتبط مقدارُ السلام الداخلي الذي يملكه الشخص بشكل عكسي بمقدار التوتر في جسده وروحه.	يرتبط مقدارُ السلام الداخلي الذي يملكه الشخص بشكل عكسي بمقدار التوتر في جسده وروحه	ي ر ت ب ط | م ق د ا ر ُ | ا ل س ل ا م | ا ل د ا خ ل ي | ا ل ذ ي | ي م ل ك ه | ا ل ش خ ص | ب ش ك ل | ع ك س ي | ب م ق د ا ر | ا ل ت و ت ر | ف ي | ج س د ه | و ر و ح ه |	174720	FEMALE
800	3132254058970656730.wav	حيوانان الموظ (التي تُعرف أيضًا بالإلكة) ليست عدوانية بطبعها، لكنها ستدافع عن نفسها إذا شعرت بالخطر.	حيوانان الموظ التي تُعرف أيضًا بالإلكة ليست عدوانية بطبعها، لكنها ستدافع عن نفسها إذا شعرت بالخطر	ح ي و ا ن ا ن | ا ل م و ظ | ا ل ت ي | ت ُ ع ر ف | أ ي ض ً ا | ب ا ل إ ل ك ة | ل ي س ت | ع د و ا ن ي ة | ب ط ب ع ه ا ، | ل ك ن ه ا | س ت د ا ف ع | ع ن | ن ف س ه ا | إ ذ ا | ش ع ر ت | ب ا ل خ ط ر |	109440	MALE
857	12597775204504364324.wav	الحمل للآخرين - لا تدع حقائبك بعيداً عن عينيك، خاصة عندما تعبر الحدود الدولية.	الحمل للآخرين لا تدع حقائبك بعيداً عن عينيك خاصة عندما تعبر الحدود الدولية	ا ل ح م ل | ل ل آ خ ر ي ن | ل ا | ت د ع | ح ق ا ئ ب ك | ب ع ي د ا ً | ع ن | ع ي ن ي ك | خ ا ص ة | ع ن د م ا | ت ع ب ر | ا ل ح د و د | ا ل د و ل ي ة |	156480	FEMALE
687	6663885828747584941.wav	وكل من يرغب في رؤية أدلة على الضرر الذي لحق بالمومياء أثناء محاولات إزالتها من النعش سوف يخيب أمله لأنه يمكن رؤية الرأس والكتفين فقط	وكل من يرغب في رؤية أدلة على الضرر الذي لحق بالمومياء أثناء محاولات إزالتها من النعش سوف يخيب أمله لأنه يمكن رؤية الرأس والكتفين فقط	و ك ل | م ن | ي ر غ ب | ف ي | ر ؤ ي ة | أ د ل ة | ع ل ى | ا ل ض ر ر | ا ل ذ ي | ل ح ق | ب ا ل م و م ي ا ء | أ ث ن ا ء | م ح ا و ل ا ت | إ ز ا ل ت ه ا | م ن | ا ل ن ع ش | س و ف | ي خ ي ب | أ م ل ه | ل أ ن ه | ي م ك ن | ر ؤ ي ة | ا ل ر أ س | و ا ل ك ت ف ي ن | ف ق ط |	209280	FEMALE
147	682907487094298453.wav	مع وجود هذا الترتيب، ربما تنتهي هذه الحرية.	مع وجود هذا الترتيب ربما تنتهي هذه الحرية	م ع | و ج و د | ه ذ ا | ا ل ت ر ت ي ب | ر ب م ا | ت ن ت ه ي | ه ذ ه | ا ل ح ر ي ة |	78720	FEMALE
