1408	14937804473151608532.wav	Δημιούργησε περισσότερα από 1.000 γραμματόσημα για τη Σουηδία, καθώς και για άλλες 28 χώρες.	δημιούργησε περισσότερα από 1.000 γραμματόσημα για τη σουηδία καθώς και για άλλες 28 χώρες	δ η μ ι ο ύ ρ γ η σ ε | π ε ρ ι σ σ ό τ ε ρ α | α π ό | 1 . 0 0 0 | γ ρ α μ μ α τ ό σ η μ α | γ ι α | τ η | σ ο υ η δ ί α | κ α θ ώ ς | κ α ι | γ ι α | ά λ λ ε ς | 2 8 | χ ώ ρ ε ς |	121920	MALE
539	1640079262879365634.wav	Οι επισκέπτες γίνεται να πάνε σε αρκετά αξιοθέατα ενός κράτους ή απλά να διαλέξουν να πάνε σε ένα μόνο μέρος.	οι επισκέπτες γίνεται να πάνε σε αρκετά αξιοθέατα ενός κράτους ή απλά να διαλέξουν να πάνε σε ένα μόνο μέρος	ο ι | ε π ι σ κ έ π τ ε ς | γ ί ν ε τ α ι | ν α | π ά ν ε | σ ε | α ρ κ ε τ ά | α ξ ι ο θ έ α τ α | ε ν ό ς | κ ρ ά τ ο υ ς | ή | α π λ ά | ν α | δ ι α λ έ ξ ο υ ν | ν α | π ά ν ε | σ ε | έ ν α | μ ό ν ο | μ έ ρ ο ς |	157440	FEMALE
710	15054128903264173626.wav	Ωστόσο, αναμένετε ότι θα κουραστείτε και προσέχετε στα πιο απότομα τμήματα, ιδιαίτερα όταν είναι βρεγμένα, καθώς μπορεί γρήγορα να γίνουν επικίνδυνα.	ωστόσο αναμένετε ότι θα κουραστείτε και προσέχετε στα πιο απότομα τμήματα ιδιαίτερα όταν είναι βρεγμένα καθώς μπορεί γρήγορα να γίνουν επικίνδυνα	ω σ τ ό σ ο | α ν α μ έ ν ε τ ε | ό τ ι | θ α | κ ο υ ρ α σ τ ε ί τ ε | κ α ι | π ρ ο σ έ χ ε τ ε | σ τ α | π ι ο | α π ό τ ο μ α | τ μ ή μ α τ α | ι δ ι α ί τ ε ρ α | ό τ α ν | ε ί ν α ι | β ρ ε γ μ έ ν α | κ α θ ώ ς | μ π ο ρ ε ί | γ ρ ή γ ο ρ α | ν α | γ ί ν ο υ ν | ε π ι κ ί ν δ υ ν α |	197120	FEMALE
1387	9809336347932346863.wav	Αναφορικά με κάποια φεστιβάλ, το μεγαλύτερο μέρος των περευρισκόμενων σε μουσικά φεστιβάλ αποφασίζουν να κατασκηνώσουν εκεί, και οι περισσότεροι το θεωρούν ως πολύ σημαντικό κομμάτι της εμπειρίας.	αναφορικά με κάποια φεστιβάλ το μεγαλύτερο μέρος των περευρισκόμενων σε μουσικά φεστιβάλ αποφασίζουν να κατασκηνώσουν εκεί και οι περισσότεροι το θεωρούν ως πολύ σημαντικό κομμάτι της εμπειρίας	α ν α φ ο ρ ι κ ά | μ ε | κ ά π ο ι α | φ ε σ τ ι β ά λ | τ ο | μ ε γ α λ ύ τ ε ρ ο | μ έ ρ ο ς | τ ω ν | π ε ρ ε υ ρ ι σ κ ό μ ε ν ω ν | σ ε | μ ο υ σ ι κ ά | φ ε σ τ ι β ά λ | α π ο φ α σ ί ζ ο υ ν | ν α | κ α τ α σ κ η ν ώ σ ο υ ν | ε κ ε ί | κ α ι | ο ι | π ε ρ ι σ σ ό τ ε ρ ο ι | τ ο | θ ε ω ρ ο ύ ν | ω ς | π ο λ ύ | σ η μ α ν τ ι κ ό | κ ο μ μ ά τ ι | τ η ς | ε μ π ε ι ρ ί α ς |	213120	FEMALE
225	4643881621679412656.wav	Ο/Η δικαστής είπε στον Blake πως ήταν «αναπόφευκτο σχεδόν» ότι θα μπει στη φυλακή.	ο/η δικαστής είπε στον blake πως ήταν «αναπόφευκτο σχεδόν» ότι θα μπει στη φυλακή	ο / η | δ ι κ α σ τ ή ς | ε ί π ε | σ τ ο ν | b l a k e | π ω ς | ή τ α ν | « α ν α π ό φ ε υ κ τ ο | σ χ ε δ ό ν » | ό τ ι | θ α | μ π ε ι | σ τ η | φ υ λ α κ ή |	88320	MALE
1048	18410222081563237821.wav	Καταρτίστηκε και έγινε γυναικολόγος, ξεκίνησε να δουλεύει το 1959 στην κρατική κλινική θηλέων, Auckland.	καταρτίστηκε και έγινε γυναικολόγος ξεκίνησε να δουλεύει το 1959 στην κρατική κλινική θηλέων auckland	κ α τ α ρ τ ί σ τ η κ ε | κ α ι | έ γ ι ν ε | γ υ ν α ι κ ο λ ό γ ο ς | ξ ε κ ί ν η σ ε | ν α | δ ο υ λ ε ύ ε ι | τ ο | 1 9 5 9 | σ τ η ν | κ ρ α τ ι κ ή | κ λ ι ν ι κ ή | θ η λ έ ω ν | a u c k l a n d |	167040	FEMALE
316	17188602250250134831.wav	Το σχολείο Σύγχρονη Εκπαίδευση τον κατηγόρησε ότι τύπωσε μεγάλες διαφημίσεις και τις τοποθέτησε σε λεωφορεία χωρίς άδεια, στις οποίες υποστήριζε ότι ήταν ο βασικός καθηγητής αγγλικών.	το σχολείο σύγχρονη εκπαίδευση τον κατηγόρησε ότι τύπωσε μεγάλες διαφημίσεις και τις τοποθέτησε σε λεωφορεία χωρίς άδεια στις οποίες υποστήριζε ότι ήταν ο βασικός καθηγητής αγγλικών	τ ο | σ χ ο λ ε ί ο | σ ύ γ χ ρ ο ν η | ε κ π α ί δ ε υ σ η | τ ο ν | κ α τ η γ ό ρ η σ ε | ό τ ι | τ ύ π ω σ ε | μ ε γ ά λ ε ς | δ ι α φ η μ ί σ ε ι ς | κ α ι | τ ι ς | τ ο π ο θ έ τ η σ ε | σ ε | λ ε ω φ ο ρ ε ί α | χ ω ρ ί ς | ά δ ε ι α | σ τ ι ς | ο π ο ί ε ς | υ π ο σ τ ή ρ ι ζ ε | ό τ ι | ή τ α ν | ο | β α σ ι κ ό ς | κ α θ η γ η τ ή ς | α γ γ λ ι κ ώ ν |	170880	MALE
626	1250728643736460709.wav	Αυτή η νοοτροπία εστιάζει στην ταχύτητα, τη λογική και την ακρίβεια, καθώς και στην αναγνώριση δεδομένων, την εκ νέου εφαρμογή των υπαρχουσών τεχνικών και τη συγκέντρωση πληροφοριών.	αυτή η νοοτροπία εστιάζει στην ταχύτητα τη λογική και την ακρίβεια καθώς και στην αναγνώριση δεδομένων την εκ νέου εφαρμογή των υπαρχουσών τεχνικών και τη συγκέντρωση πληροφοριών	α υ τ ή | η | ν ο ο τ ρ ο π ί α | ε σ τ ι ά ζ ε ι | σ τ η ν | τ α χ ύ τ η τ α | τ η | λ ο γ ι κ ή | κ α ι | τ η ν | α κ ρ ί β ε ι α | κ α θ ώ ς | κ α ι | σ τ η ν | α ν α γ ν ώ ρ ι σ η | δ ε δ ο μ έ ν ω ν | τ η ν | ε κ | ν έ ο υ | ε φ α ρ μ ο γ ή | τ ω ν | υ π α ρ χ ο υ σ ώ ν | τ ε χ ν ι κ ώ ν | κ α ι | τ η | σ υ γ κ έ ν τ ρ ω σ η | π λ η ρ ο φ ο ρ ι ώ ν |	213120	MALE
867	11283082906158576331.wav	Αν ταξιδεύετε σε μια αναπτυσσόμενη χώρα για πρώτη φορά —ή σε μέρος που δεν έχετε επισκεφτεί στο παρελθόν— μην υποτιμάτε το ενδεχόμενο πολιτισμικό σοκ.	αν ταξιδεύετε σε μια αναπτυσσόμενη χώρα για πρώτη φορά ή σε μέρος που δεν έχετε επισκεφτεί στο παρελθόν μην υποτιμάτε το ενδεχόμενο πολιτισμικό σοκ	α ν | τ α ξ ι δ ε ύ ε τ ε | σ ε | μ ι α | α ν α π τ υ σ σ ό μ ε ν η | χ ώ ρ α | γ ι α | π ρ ώ τ η | φ ο ρ ά | ή | σ ε | μ έ ρ ο ς | π ο υ | δ ε ν | έ χ ε τ ε | ε π ι σ κ ε φ τ ε ί | σ τ ο | π α ρ ε λ θ ό ν | μ η ν | υ π ο τ ι μ ά τ ε | τ ο | ε ν δ ε χ ό μ ε ν ο | π ο λ ι τ ι σ μ ι κ ό | σ ο κ |	175680	FEMALE
89	17016426666564181749.wav	Η αστυνομία δεν έκανε επίσημη δήλωση εκτός από την επαλήθευση της σημερινής προσαγωγής.	η αστυνομία δεν έκανε επίσημη δήλωση εκτός από την επαλήθευση της σημερινής προσαγωγής	η | α σ τ υ ν ο μ ί α | δ ε ν | έ κ α ν ε | ε π ί σ η μ η | δ ή λ ω σ η | ε κ τ ό ς | α π ό | τ η ν | ε π α λ ή θ ε υ σ η | τ η ς | σ η μ ε ρ ι ν ή ς | π ρ ο σ α γ ω γ ή ς |	111360	MALE
162	3797000547908889203.wav	Το πολεμικό ναυτικό των ΗΠΑ ανέφερε επίσης ότι ερευνά το συμβάν.	το πολεμικό ναυτικό των ηπα ανέφερε επίσης ότι ερευνά το συμβάν	τ ο | π ο λ ε μ ι κ ό | ν α υ τ ι κ ό | τ ω ν | η π α | α ν έ φ ε ρ ε | ε π ί σ η ς | ό τ ι | ε ρ ε υ ν ά | τ ο | σ υ μ β ά ν |	87360	MALE
252	14442823556644327731.wav	Το νούμερο όσως έχουν πεθάνει φτάνει τους 15, νούμερο που περιμένουν να μεγαλώσει.	το νούμερο όσως έχουν πεθάνει φτάνει τους 15 νούμερο που περιμένουν να μεγαλώσει	τ ο | ν ο ύ μ ε ρ ο | ό σ ω ς | έ χ ο υ ν | π ε θ ά ν ε ι | φ τ ά ν ε ι | τ ο υ ς | 1 5 | ν ο ύ μ ε ρ ο | π ο υ | π ε ρ ι μ έ ν ο υ ν | ν α | μ ε γ α λ ώ σ ε ι |	201600	MALE
1177	5915995727207796057.wav	Σήμερα, το Τιμπουκτού είναι μια εξαθλιωμένη πόλη, παρά τη φήμη της που την καθιστά τουριστικό αξιοθέατο, ενώ διαθέτει και αεροδρόμιο.	σήμερα το τιμπουκτού είναι μια εξαθλιωμένη πόλη παρά τη φήμη της που την καθιστά τουριστικό αξιοθέατο ενώ διαθέτει και αεροδρόμιο	σ ή μ ε ρ α | τ ο | τ ι μ π ο υ κ τ ο ύ | ε ί ν α ι | μ ι α | ε ξ α θ λ ι ω μ έ ν η | π ό λ η | π α ρ ά | τ η | φ ή μ η | τ η ς | π ο υ | τ η ν | κ α θ ι σ τ ά | τ ο υ ρ ι σ τ ι κ ό | α ξ ι ο θ έ α τ ο | ε ν ώ | δ ι α θ έ τ ε ι | κ α ι | α ε ρ ο δ ρ ό μ ι ο |	155520	MALE
143	18051707430981695307.wav	Η απόφαση του NBA λήφθηκε έπειτα από το γεγονός ότι παίκτης της Γιούτα Τζαζ βρέθηκε θετικός στον ιό COVID-19.	η απόφαση του nba λήφθηκε έπειτα από το γεγονός ότι παίκτης της γιούτα τζαζ βρέθηκε θετικός στον ιό covid-19	η | α π ό φ α σ η | τ ο υ | n b a | λ ή φ θ η κ ε | έ π ε ι τ α | α π ό | τ ο | γ ε γ ο ν ό ς | ό τ ι | π α ί κ τ η ς | τ η ς | γ ι ο ύ τ α | τ ζ α ζ | β ρ έ θ η κ ε | θ ε τ ι κ ό ς | σ τ ο ν | ι ό | c o v i d - 1 9 |	150720	MALE
105	13836458936687494101.wav	Περιλαμβάνουν οικονομικούς περιορισμούς και εμπάργκο από την Ευρωπαϊκή Ένωση στην εξαγωγή αργού πετρελαίου, η οποία αποτελεί και το 80% των εσόδων από το εξωτερικό που λαμβάνει η ιρανική κυβέρνηση.	περιλαμβάνουν οικονομικούς περιορισμούς και εμπάργκο από την ευρωπαϊκή ένωση στην εξαγωγή αργού πετρελαίου η οποία αποτελεί και το 80% των εσόδων από το εξωτερικό που λαμβάνει η ιρανική κυβέρνηση	π ε ρ ι λ α μ β ά ν ο υ ν | ο ι κ ο ν ο μ ι κ ο ύ ς | π ε ρ ι ο ρ ι σ μ ο ύ ς | κ α ι | ε μ π ά ρ γ κ ο | α π ό | τ η ν | ε υ ρ ω π α ϊ κ ή | έ ν ω σ η | σ τ η ν | ε ξ α γ ω γ ή | α ρ γ ο ύ | π ε τ ρ ε λ α ί ο υ | η | ο π ο ί α | α π ο τ ε λ ε ί | κ α ι | τ ο | 8 0 % | τ ω ν | ε σ ό δ ω ν | α π ό | τ ο | ε ξ ω τ ε ρ ι κ ό | π ο υ | λ α μ β ά ν ε ι | η | ι ρ α ν ι κ ή | κ υ β έ ρ ν η σ η |	174720	FEMALE
790	13127407809100461537.wav	Φανταστείτε κάποιον με καταγωγή από το Μάντσεστερ, άλλον από τη Βοστώνη, έναν Τζαμαϊκανό και κάποιον από το Σίδνεϊ να δειπνούν γύρω από το ίδιο τραπέζι σε ένα εστιατόριο στο Τορόντο.	φανταστείτε κάποιον με καταγωγή από το μάντσεστερ άλλον από τη βοστώνη έναν τζαμαϊκανό και κάποιον από το σίδνεϊ να δειπνούν γύρω από το ίδιο τραπέζι σε ένα εστιατόριο στο τορόντο	φ α ν τ α σ τ ε ί τ ε | κ ά π ο ι ο ν | μ ε | κ α τ α γ ω γ ή | α π ό | τ ο | μ ά ν τ σ ε σ τ ε ρ | ά λ λ ο ν | α π ό | τ η | β ο σ τ ώ ν η | έ ν α ν | τ ζ α μ α ϊ κ α ν ό | κ α ι | κ ά π ο ι ο ν | α π ό | τ ο | σ ί δ ν ε ϊ | ν α | δ ε ι π ν ο ύ ν | γ ύ ρ ω | α π ό | τ ο | ί δ ι ο | τ ρ α π έ ζ ι | σ ε | έ ν α | ε σ τ ι α τ ό ρ ι ο | σ τ ο | τ ο ρ ό ν τ ο |	190080	FEMALE
979	10031147355667960876.wav	Στον καύσωνα της ημέρας, οι ταξιδιώτες ενδέχεται να βιώσουν ψευδαισθήσεις από αντικατοπτρισμούς που μοιάζουν με νερό (ή άλλα πράγματα).	στον καύσωνα της ημέρας οι ταξιδιώτες ενδέχεται να βιώσουν ψευδαισθήσεις από αντικατοπτρισμούς που μοιάζουν με νερό ή άλλα πράγματα	σ τ ο ν | κ α ύ σ ω ν α | τ η ς | η μ έ ρ α ς | ο ι | τ α ξ ι δ ι ώ τ ε ς | ε ν δ έ χ ε τ α ι | ν α | β ι ώ σ ο υ ν | ψ ε υ δ α ι σ θ ή σ ε ι ς | α π ό | α ν τ ι κ α τ ο π τ ρ ι σ μ ο ύ ς | π ο υ | μ ο ι ά ζ ο υ ν | μ ε | ν ε ρ ό | ή | ά λ λ α | π ρ ά γ μ α τ α |	161280	FEMALE
45	8403309727584188841.wav	Ο Φρεντ είναι, ως τώρα, ο πιο δυνατός τροπικός τυφώνας που έχει σημειωθεί στο νότιο και ανατολικό μέρος του Ατλαντικού μετά την ανάπτυξη των εικόνων από δορυφόρο και μόνο ό τρίτος ισχυρός τυφώνας που έχει σημειωθεί ανατολικά των 35 δυτικών μοιρών.	ο φρεντ είναι ως τώρα ο πιο δυνατός τροπικός τυφώνας που έχει σημειωθεί στο νότιο και ανατολικό μέρος του ατλαντικού μετά την ανάπτυξη των εικόνων από δορυφόρο και μόνο ό τρίτος ισχυρός τυφώνας που έχει σημειωθεί ανατολικά των 35 δυτικών μοιρών	ο | φ ρ ε ν τ | ε ί ν α ι | ω ς | τ ώ ρ α | ο | π ι ο | δ υ ν α τ ό ς | τ ρ ο π ι κ ό ς | τ υ φ ώ ν α ς | π ο υ | έ χ ε ι | σ η μ ε ι ω θ ε ί | σ τ ο | ν ό τ ι ο | κ α ι | α ν α τ ο λ ι κ ό | μ έ ρ ο ς | τ ο υ | α τ λ α ν τ ι κ ο ύ | μ ε τ ά | τ η ν | α ν ά π τ υ ξ η | τ ω ν | ε ι κ ό ν ω ν | α π ό | δ ο ρ υ φ ό ρ ο | κ α ι | μ ό ν ο | ό | τ ρ ί τ ο ς | ι σ χ υ ρ ό ς | τ υ φ ώ ν α ς | π ο υ | έ χ ε ι | σ η μ ε ι ω θ ε ί | α ν α τ ο λ ι κ ά | τ ω ν | 3 5 | δ υ τ ι κ ώ ν | μ ο ι ρ ώ ν |	220800	MALE
822	4340567517586951770.wav	Τα ταξιδιωτικά πρακτορεία υφίστανται από τον 19ο αιώνα. Οι ταξιδιωτικοί πράκτορες συνήθως αποτελούν καλή επιλογή για ένα ταξίδι που εκτείνεται πέρα από τη μέχρι τώρα εμπειρία του ταξιδιώτη σε σχέση με τη φύση, τον πολιτισμό, τη γλώσσα ή τις χώρες χαμηλού εισοδήματος.	τα ταξιδιωτικά πρακτορεία υφίστανται από τον 19ο αιώνα οι ταξιδιωτικοί πράκτορες συνήθως αποτελούν καλή επιλογή για ένα ταξίδι που εκτείνεται πέρα από τη μέχρι τώρα εμπειρία του ταξιδιώτη σε σχέση με τη φύση τον πολιτισμό τη γλώσσα ή τις χώρες χαμηλού εισοδήματος	τ α | τ α ξ ι δ ι ω τ ι κ ά | π ρ α κ τ ο ρ ε ί α | υ φ ί σ τ α ν τ α ι | α π ό | τ ο ν | 1 9 ο | α ι ώ ν α | ο ι | τ α ξ ι δ ι ω τ ι κ ο ί | π ρ ά κ τ ο ρ ε ς | σ υ ν ή θ ω ς | α π ο τ ε λ ο ύ ν | κ α λ ή | ε π ι λ ο γ ή | γ ι α | έ ν α | τ α ξ ί δ ι | π ο υ | ε κ τ ε ί ν ε τ α ι | π έ ρ α | α π ό | τ η | μ έ χ ρ ι | τ ώ ρ α | ε μ π ε ι ρ ί α | τ ο υ | τ α ξ ι δ ι ώ τ η | σ ε | σ χ έ σ η | μ ε | τ η | φ ύ σ η | τ ο ν | π ο λ ι τ ι σ μ ό | τ η | γ λ ώ σ σ α | ή | τ ι ς | χ ώ ρ ε ς | χ α μ η λ ο ύ | ε ι σ ο δ ή μ α τ ο ς |	225600	MALE
795	8477209470669150600.wav	Δημιουργήστε αντίγραφα του ασφαλιστηρίου σας και των στοιχείων επικοινωνίας του ασφαλιστή σας, και φέρτε τα μαζί σας.	δημιουργήστε αντίγραφα του ασφαλιστηρίου σας και των στοιχείων επικοινωνίας του ασφαλιστή σας και φέρτε τα μαζί σας	δ η μ ι ο υ ρ γ ή σ τ ε | α ν τ ί γ ρ α φ α | τ ο υ | α σ φ α λ ι σ τ η ρ ί ο υ | σ α ς | κ α ι | τ ω ν | σ τ ο ι χ ε ί ω ν | ε π ι κ ο ι ν ω ν ί α ς | τ ο υ | α σ φ α λ ι σ τ ή | σ α ς | κ α ι | φ έ ρ τ ε | τ α | μ α ζ ί | σ α ς |	127680	MALE
