1039	303579745687635629.wav	Այն ինչ ես ասում եմ մարդկանց սա է՝ վերաբերվեք մեզ այնպես, ինչպես մենք ենք ձեզ վերաբերվում։	այն ինչ ես ասում եմ մարդկանց սա է վերաբերվեք մեզ այնպես ինչպես մենք ենք ձեզ վերաբերվում	ա յ ն | ի ն չ | ե ս | ա ս ո ւ մ | ե մ | մ ա ր դ կ ա ն ց | ս ա | է | վ ե ր ա բ ե ր վ ե ք | մ ե զ | ա յ ն պ ե ս | ի ն չ պ ե ս | մ ե ն ք | ե ն ք | ձ ե զ | վ ե ր ա բ ե ր վ ո ւ մ |	139200	MALE
317	7755383296440612147.wav	Նախկինում նա նաև մեղադրվել էր հեղինակային իրավունքի խախտման համար, սակայն մեղադրանք չէր առաջադրվել:	նախկինում նա նաև մեղադրվել էր հեղինակային իրավունքի խախտման համար սակայն մեղադրանք չէր առաջադրվել	ն ա խ կ ի ն ո ւ մ | ն ա | ն ա և | մ ե ղ ա դ ր վ ե լ | է ր | հ ե ղ ի ն ա կ ա յ ի ն | ի ր ա վ ո ւ ն ք ի | խ ա խ տ մ ա ն | հ ա մ ա ր | ս ա կ ա յ ն | մ ե ղ ա դ ր ա ն ք | չ է ր | ա ռ ա ջ ա դ ր վ ե լ |	186240	FEMALE
315	10619303121052896567.wav	Իր գրառումներում նա օգտագործում էր բառեր, որոնք որոշ ծնողներ համարում են կոպիտ և նշվում է, որ դասարանում հայհոյանքներ է օգտագործել:	իր գրառումներում նա օգտագործում էր բառեր որոնք որոշ ծնողներ համարում են կոպիտ և նշվում է որ դասարանում հայհոյանքներ է օգտագործել	ի ր | գ ր ա ռ ո ւ մ ն ե ր ո ւ մ | ն ա | օ գ տ ա գ ո ր ծ ո ւ մ | է ր | բ ա ռ ե ր | ո ր ո ն ք | ո ր ո շ | ծ ն ո ղ ն ե ր | հ ա մ ա ր ո ւ մ | ե ն | կ ո պ ի տ | և | ն շ վ ո ւ մ | է | ո ր | դ ա ս ա ր ա ն ո ւ մ | հ ա յ հ ո յ ա ն ք ն ե ր | է | օ գ տ ա գ ո ր ծ ե լ |	158400	FEMALE
988	8598493970853403145.wav	Այս բարձրավանդակները հաճախ անվանում էին «վիդի»՝ նշանակելով լայն, բաց ծառազուրկ տարածք, անծայրածիր տարածություն։	այս բարձրավանդակները հաճախ անվանում էին վիդի նշանակելով լայն բաց ծառազուրկ տարածք անծայրածիր տարածություն	ա յ ս | բ ա ր ձ ր ա վ ա ն դ ա կ ն ե ր ը | հ ա ճ ա խ | ա ն վ ա ն ո ւ մ | է ի ն | վ ի դ ի | ն շ ա ն ա կ ե լ ո վ | լ ա յ ն | բ ա ց | ծ ա ռ ա զ ո ւ ր կ | տ ա ր ա ծ ք | ա ն ծ ա յ ր ա ծ ի ր | տ ա ր ա ծ ո ւ թ յ ո ւ ն |	115200	FEMALE
849	1081128205070154244.wav	Ավստրալիայում հասանելի բումերանգների մեծ մասը, փաստորեն, չեն վերադառնում: Սկսնակների համար լավագույն տարբերակը քամու ժամանակ նետելու փորձ չանելն է:	ավստրալիայում հասանելի բումերանգների մեծ մասը փաստորեն չեն վերադառնում սկսնակների համար լավագույն տարբերակը քամու ժամանակ նետելու փորձ չանելն է	ա վ ս տ ր ա լ ի ա յ ո ւ մ | հ ա ս ա ն ե լ ի | բ ո ւ մ ե ր ա ն գ ն ե ր ի | մ ե ծ | մ ա ս ը | փ ա ս տ ո ր ե ն | չ ե ն | վ ե ր ա դ ա ռ ն ո ւ մ | ս կ ս ն ա կ ն ե ր ի | հ ա մ ա ր | լ ա վ ա գ ո ւ յ ն | տ ա ր բ ե ր ա կ ը | ք ա մ ո ւ | ժ ա մ ա ն ա կ | ն ե տ ե լ ո ւ | փ ո ր ձ | չ ա ն ե լ ն | է |	199680	MALE
907	9375224425474187056.wav	Դրանք մի քանի պատճառով ցանցային պրոքսիներից գերադասելի են. դրանք վերափոխում են ոչ միայն http-ն, այլ ողջ համացանցային թրաֆիքը:	դրանք մի քանի պատճառով ցանցային պրոքսիներից գերադասելի են. դրանք վերափոխում են ոչ միայն http-ն այլ ողջ համացանցային թրաֆիքը:	դ ր ա ն ք | մ ի | ք ա ն ի | պ ա տ ճ ա ռ ո վ | ց ա ն ց ա յ ի ն | պ ր ո ք ս ի ն ե ր ի ց | գ ե ր ա դ ա ս ե լ ի | ե ն . | դ ր ա ն ք | վ ե ր ա փ ո խ ո ւ մ | ե ն | ո չ | մ ի ա յ ն | h t t p - ն | ա յ լ | ո ղ ջ | հ ա մ ա ց ա ն ց ա յ ի ն | թ ր ա ֆ ի ք ը : |	232320	FEMALE
1207	15869800699637938201.wav	Փայտամածները կարող են լինել ինչպես վիրտուալ, այնպես էլ իրական, այլ կերպ ասած՝ ուսուցիչը փայտամածի մի ձև է, բայց այդպիսին է նաև փոքրիկ թղթապանակով մարդը Microsoft-ի գրասենյակում։	փայտամածները կարող են լինել ինչպես վիրտուալ այնպես էլ իրական այլ կերպ ասած՝ ուսուցիչը փայտամածի մի ձև է բայց այդպիսին է նաև փոքրիկ թղթապանակով մարդը microsoft-ի գրասենյակում։	փ ա յ տ ա մ ա ծ ն ե ր ը | կ ա ր ո ղ | ե ն | լ ի ն ե լ | ի ն չ պ ե ս | վ ի ր տ ո ւ ա լ | ա յ ն պ ե ս | է լ | ի ր ա կ ա ն | ա յ լ | կ ե ր պ | ա ս ա ծ ՝ | ո ւ ս ո ւ ց ի չ ը | փ ա յ տ ա մ ա ծ ի | մ ի | ձ և | է | բ ա յ ց | ա յ դ պ ի ս ի ն | է | ն ա և | փ ո ք ր ի կ | թ ղ թ ա պ ա ն ա կ ո վ | մ ա ր դ ը | m i c r o s o f t - ի | գ ր ա ս ե ն յ ա կ ո ւ մ ։ |	239040	FEMALE
1254	9112388449062094205.wav	Սա հատկապես սիրված է շրջանավարտների շրջանում՝ թույլ տալով մեկ տարվա տարկետում վերցնել համալսարանից առաջ՝ առանց խանգարելու իրենց կրթությունը:	սա հատկապես սիրված է շրջանավարտների շրջանում թույլ տալով մեկ տարվա տարկետում վերցնել համալսարանից առաջ առանց խանգարելու իրենց կրթությունը	ս ա | հ ա տ կ ա պ ե ս | ս ի ր վ ա ծ | է | շ ր ջ ա ն ա վ ա ր տ ն ե ր ի | շ ր ջ ա ն ո ւ մ | թ ո ւ յ լ | տ ա լ ո վ | մ ե կ | տ ա ր վ ա | տ ա ր կ ե տ ո ւ մ | վ ե ր ց ն ե լ | հ ա մ ա լ ս ա ր ա ն ի ց | ա ռ ա ջ | ա ռ ա ն ց | խ ա ն գ ա ր ե լ ո ւ | ի ր ե ն ց | կ ր թ ո ւ թ յ ո ւ ն ը |	206400	MALE
72	14343685439718165142.wav	Հայտնի հույն իրավաբանները՝ Սակիս Կեչագիոգլուն և Ջորջ Նիկոլակոպուլոսը բանտարկվել են Աթենքի Կոռիդալլուս բանտում, քանի որ մեղավոր էին ճանաչվել կաշառակերության և կեղծիքի համար:	հայտնի հույն իրավաբանները սակիս կեչագիոգլուն և ջորջ նիկոլակոպուլոսը բանտարկվել են աթենքի կոռիդալլուս բանտում քանի որ մեղավոր էին ճանաչվել կաշառակերության և կեղծիքի համար	հ ա յ տ ն ի | հ ո ւ յ ն | ի ր ա վ ա բ ա ն ն ե ր ը | ս ա կ ի ս | կ ե չ ա գ ի ո գ լ ո ւ ն | և | ջ ո ր ջ | ն ի կ ո լ ա կ ո պ ո ւ լ ո ս ը | բ ա ն տ ա ր կ վ ե լ | ե ն | ա թ ե ն ք ի | կ ո ռ ի դ ա լ լ ո ւ ս | բ ա ն տ ո ւ մ | ք ա ն ի | ո ր | մ ե ղ ա վ ո ր | է ի ն | ճ ա ն ա չ վ ե լ | կ ա շ ա ռ ա կ ե ր ո ւ թ յ ա ն | և | կ ե ղ ծ ի ք ի | հ ա մ ա ր |	212160	MALE
1211	12116599072105795424.wav	Օտարերկրյա կառավարությունների պատրաստակամությունը հետևելու այդ փաստաթղթերի պահպանմանը, նույնքան փոփոխական է:	օտարերկրյա կառավարությունների պատրաստակամությունը հետևելու այդ փաստաթղթերի պահպանմանը նույնքան փոփոխական է	օ տ ա ր ե ր կ ր յ ա | կ ա ռ ա վ ա ր ո ւ թ յ ո ւ ն ն ե ր ի | պ ա տ ր ա ս տ ա կ ա մ ո ւ թ յ ո ւ ն ը | հ ե տ և ե լ ո ւ | ա յ դ | փ ա ս տ ա թ ղ թ ե ր ի | պ ա հ պ ա ն մ ա ն ը | ն ո ւ յ ն ք ա ն | փ ո փ ո խ ա կ ա ն | է |	176640	MALE
648	4052794199592465764.wav	Մեզանից շատերը գտնում են, որ դիտում են հեռուստատեսային շոուներ, որոնք մեզ տեղեկացնում են որևէ գործընթացի կամ փորձի մասին, որին մենք երբեք մասնակցություն չենք ունենա կամ այդ գիտելիքը չենք կիրառի:	մեզանից շատերը գտնում են որ դիտում են հեռուստատեսային շոուներ որոնք մեզ տեղեկացնում են որևէ գործընթացի կամ փորձի մասին որին մենք երբեք մասնակցություն չենք ունենա կամ այդ գիտելիքը չենք կիրառի	մ ե զ ա ն ի ց | շ ա տ ե ր ը | գ տ ն ո ւ մ | ե ն | ո ր | դ ի տ ո ւ մ | ե ն | հ ե ռ ո ւ ս տ ա տ ե ս ա յ ի ն | շ ո ո ւ ն ե ր | ո ր ո ն ք | մ ե զ | տ ե ղ ե կ ա ց ն ո ւ մ | ե ն | ո ր և է | գ ո ր ծ ը ն թ ա ց ի | կ ա մ | փ ո ր ձ ի | մ ա ս ի ն | ո ր ի ն | մ ե ն ք | ե ր բ ե ք | մ ա ս ն ա կ ց ո ւ թ յ ո ւ ն | չ ե ն ք | ո ւ ն ե ն ա | կ ա մ | ա յ դ | գ ի տ ե լ ի ք ը | չ ե ն ք | կ ի ր ա ռ ի |	228480	MALE
1109	15973203357197221895.wav	Բարձր միջնադարին նախորդել է վաղ միջնադարը և դրան հաջորդել է ուշ միջնադարը, որոնք պայմանականորեն ավարտվում են մոտ 1500 թվականին:	բարձր միջնադարին նախորդել է վաղ միջնադարը և դրան հաջորդել է ուշ միջնադարը որոնք պայմանականորեն ավարտվում են մոտ 1500 թվականին	բ ա ր ձ ր | մ ի ջ ն ա դ ա ր ի ն | ն ա խ ո ր դ ե լ | է | վ ա ղ | մ ի ջ ն ա դ ա ր ը | և | դ ր ա ն | հ ա ջ ո ր դ ե լ | է | ո ւ շ | մ ի ջ ն ա դ ա ր ը | ո ր ո ն ք | պ ա յ մ ա ն ա կ ա ն ո ր ե ն | ա վ ա ր տ վ ո ւ մ | ե ն | մ ո տ | 1 5 0 0 | թ վ ա կ ա ն ի ն |	168000	FEMALE
296	12872555499744783396.wav	Ուղղաթիռները փրկեցին անձնակազմի տասներկու անդամին, և միակ վնասվածքը մեկի կոտրված քիթն էր:	ուղղաթիռները փրկեցին անձնակազմի տասներկու անդամին և միակ վնասվածքը մեկի կոտրված քիթն էր	ո ւ ղ ղ ա թ ի ռ ն ե ր ը | փ ր կ ե ց ի ն | ա ն ձ ն ա կ ա զ մ ի | տ ա ս ն ե ր կ ո ւ | ա ն դ ա մ ի ն | և | մ ի ա կ | վ ն ա ս վ ա ծ ք ը | մ ե կ ի | կ ո տ ր վ ա ծ | ք ի թ ն | է ր |	149760	MALE
1206	1691563739261571667.wav	Ըստ դատավարության՝ ՄԱԿ-ի ճամբարի թափոնները հարկ եղած կերպով չեն մանրէազերծվել՝ այդպիսով թույլ տալով մանրէների մուտքը Արթիբոնիտ գետի վտակ, որը Հայիթիի ամենամեծերից է:	ըստ դատավարության մակ-ի ճամբարի թափոնները հարկ եղած կերպով չեն մանրէազերծվել այդպիսով թույլ տալով մանրէների մուտքը արթիբոնիտ գետի վտակ որը հայիթիի ամենամեծերից է	ը ս տ | դ ա տ ա վ ա ր ո ւ թ յ ա ն | մ ա կ - ի | ճ ա մ բ ա ր ի | թ ա փ ո ն ն ե ր ը | հ ա ր կ | ե ղ ա ծ | կ ե ր պ ո վ | չ ե ն | մ ա ն ր է ա զ ե ր ծ վ ե լ | ա յ դ պ ի ս ո վ | թ ո ւ յ լ | տ ա լ ո վ | մ ա ն ր է ն ե ր ի | մ ո ւ տ ք ը | ա ր թ ի բ ո ն ի տ | գ ե տ ի | վ տ ա կ | ո ր ը | հ ա յ ի թ ի ի | ա մ ե ն ա մ ե ծ ե ր ի ց | է |	253440	MALE
1043	16089235991432307886.wav	Բայց վարչապետ Ջոն Հովարդն ասել է, որ ակտով նախատեսված էր հավելյալ 45 միլիոն ավստրալիական դոլարի լրացուցիչ օժանդակություն տրամադրել՝ միայն հիվանդանոցի հարմարությունները Թասմանյան կառավարության կողմից քայքայվելուց պահպանելու համար:	բայց վարչապետ ջոն հովարդն ասել է որ ակտով նախատեսված էր հավելյալ 45 միլիոն ավստրալիական դոլարի լրացուցիչ օժանդակություն տրամադրել միայն հիվանդանոցի հարմարությունները թասմանյան կառավարության կողմից քայքայվելուց պահպանելու համար	բ ա յ ց | վ ա ր չ ա պ ե տ | ջ ո ն | հ ո վ ա ր դ ն | ա ս ե լ | է | ո ր | ա կ տ ո վ | ն ա խ ա տ ե ս վ ա ծ | է ր | հ ա վ ե լ յ ա լ | 4 5 | մ ի լ ի ո ն | ա վ ս տ ր ա լ ի ա կ ա ն | դ ո լ ա ր ի | լ ր ա ց ո ւ ց ի չ | օ ժ ա ն դ ա կ ո ւ թ յ ո ւ ն | տ ր ա մ ա դ ր ե լ | մ ի ա յ ն | հ ի վ ա ն դ ա ն ո ց ի | հ ա ր մ ա ր ո ւ թ յ ո ւ ն ն ե ր ը | թ ա ս մ ա ն յ ա ն | կ ա ռ ա վ ա ր ո ւ թ յ ա ն | կ ո ղ մ ի ց | ք ա յ ք ա յ վ ե լ ո ւ ց | պ ա հ պ ա ն ե լ ո ւ | հ ա մ ա ր |	311040	MALE
133	3641894338776462955.wav	Քրիստոֆեր Գարսիան` Լոս Անջելեսի ոստիկանական բաժանմունքի խոսնակը, ասաց, որ արական սեռի կասկածյալը հետաքննվում է օրինազանցության, այլ ոչ բարբարոսության առնչությամբ:	քրիստոֆեր գարսիան լոս անջելեսի ոստիկանական բաժանմունքի խոսնակը ասաց որ արական սեռի կասկածյալը հետաքննվում է օրինազանցության այլ ոչ բարբարոսության առնչությամբ	ք ր ի ս տ ո ֆ ե ր | գ ա ր ս ի ա ն | լ ո ս | ա ն ջ ե լ ե ս ի | ո ս տ ի կ ա ն ա կ ա ն | բ ա ժ ա ն մ ո ւ ն ք ի | խ ո ս ն ա կ ը | ա ս ա ց | ո ր | ա ր ա կ ա ն | ս ե ռ ի | կ ա ս կ ա ծ յ ա լ ը | հ ե տ ա ք ն ն վ ո ւ մ | է | օ ր ի ն ա զ ա ն ց ո ւ թ յ ա ն | ա յ լ | ո չ | բ ա ր բ ա ր ո ս ո ւ թ յ ա ն | ա ռ ն չ ո ւ թ յ ա մ բ |	175680	FEMALE
12	12486796054255257578.wav	Նադալի կանադացու հետ դեմ առ դեմ հանդիպման արդյունքը 7 - 2 է։	նադալի կանադացու հետ դեմ առ դեմ հանդիպման արդյունքը 7 - 2 է	ն ա դ ա լ ի | կ ա ն ա դ ա ց ո ւ | հ ե տ | դ ե մ | ա ռ | դ ե մ | հ ա ն դ ի պ մ ա ն | ա ր դ յ ո ւ ն ք ը | 7 | - | 2 | է |	122880	FEMALE
888	11910954930900582002.wav	Զբոսաշրջիկների այցերը թանկ են, պահանջում են ֆիզիկական մարզվածություն, որը կարող է հնարավոր լինել միայն ամռանը՝ նոյեմբեր-փետրվար ամիսներին և հիմնականում սահմանափակվում են թերակղզով, կղզիներով և Ռոսսի ծովով:	զբոսաշրջիկների այցերը թանկ են պահանջում են ֆիզիկական մարզվածություն որը կարող է հնարավոր լինել միայն ամռանը նոյեմբեր-փետրվար ամիսներին և հիմնականում սահմանափակվում են թերակղզով կղզիներով և ռոսսի ծովով	զ բ ո ս ա շ ր ջ ի կ ն ե ր ի | ա յ ց ե ր ը | թ ա ն կ | ե ն | պ ա հ ա ն ջ ո ւ մ | ե ն | ֆ ի զ ի կ ա կ ա ն | մ ա ր զ վ ա ծ ո ւ թ յ ո ւ ն | ո ր ը | կ ա ր ո ղ | է | հ ն ա ր ա վ ո ր | լ ի ն ե լ | մ ի ա յ ն | ա մ ռ ա ն ը | ն ո յ ե մ բ ե ր - փ ե տ ր վ ա ր | ա մ ի ս ն ե ր ի ն | և | հ ի մ ն ա կ ա ն ո ւ մ | ս ա հ մ ա ն ա փ ա կ վ ո ւ մ | ե ն | թ ե ր ա կ ղ զ ո վ | կ ղ զ ի ն ե ր ո վ | և | ռ ո ս ս ի | ծ ո վ ո վ |	259200	FEMALE
807	17390692403069236980.wav	Նման տարածքներում հասանելի բարձրորակ ապրանքանիշերը կարող են ունենալ երկու խնդիր՝ որոշները կարող են կեղծ արտադրանք լինել, իսկ իրական ներմուծվողները կարող են ավելի թանկ լինել, քան տեղականը:	նման տարածքներում հասանելի բարձրորակ ապրանքանիշերը կարող են ունենալ երկու խնդիր որոշները կարող են կեղծ արտադրանք լինել իսկ իրական ներմուծվողները կարող են ավելի թանկ լինել քան տեղականը	ն մ ա ն | տ ա ր ա ծ ք ն ե ր ո ւ մ | հ ա ս ա ն ե լ ի | բ ա ր ձ ր ո ր ա կ | ա պ ր ա ն ք ա ն ի շ ե ր ը | կ ա ր ո ղ | ե ն | ո ւ ն ե ն ա լ | ե ր կ ո ւ | խ ն դ ի ր | ո ր ո շ ն ե ր ը | կ ա ր ո ղ | ե ն | կ ե ղ ծ | ա ր տ ա դ ր ա ն ք | լ ի ն ե լ | ի ս կ | ի ր ա կ ա ն | ն ե ր մ ո ւ ծ վ ո ղ ն ե ր ը | կ ա ր ո ղ | ե ն | ա վ ե լ ի | թ ա ն կ | լ ի ն ե լ | ք ա ն | տ ե ղ ա կ ա ն ը |	173760	FEMALE
266	13510705613929536605.wav	Չիաոն և Շարիպովը զեկուցեցին, որ դիրքի կարգավորման շարժիչներից ապահով հեռավորության վրա էին:	չիաոն և շարիպովը զեկուցեցին որ դիրքի կարգավորման շարժիչներից ապահով հեռավորության վրա էին	չ ի ա ո ն | և | շ ա ր ի պ ո վ ը | զ ե կ ո ւ ց ե ց ի ն | ո ր | դ ի ր ք ի | կ ա ր գ ա վ ո ր մ ա ն | շ ա ր ժ ի չ ն ե ր ի ց | ա պ ա հ ո վ | հ ե ռ ա վ ո ր ո ւ թ յ ա ն | վ ր ա | է ի ն |	147840	MALE
