329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
52	13275399924922386566.wav	Дар моҳи апрели соли равон, судя Глинн нисбат ба муассисаи мазкур фармони худдории муваққатӣ содир кард, то шахсони баъди қабул дар давоми зиёда аз 24 соат дар ҳабс қарор дошта раҳо карда шаванд, ки аз ҷониби Комиссари Судӣ мурофиа ба даст наоварданд.	дар моҳи апрели соли равон судя глинн нисбат ба муассисаи мазкур фармони худдории муваққатӣ содир кард то шахсони баъди қабул дар давоми зиёда аз 24 соат дар ҳабс қарор дошта раҳо карда шаванд ки аз ҷониби комиссари судӣ мурофиа ба даст наоварданд	д а р | м о ҳ и | а п р е л и | с о л и | р а в о н | с у д я | г л и н н | н и с б а т | б а | м у а с с и с а и | м а з к у р | ф а р м о н и | х у д д о р и и | м у в а қ қ а т ӣ | с о д и р | к а р д | т о | ш а х с о н и | б а ъ д и | қ а б у л | д а р | д а в о м и | з и ё д а | а з | 2 4 | с о а т | д а р | ҳ а б с | қ а р о р | д о ш т а | р а ҳ о | к а р д а | ш а в а н д | к и | а з | ҷ о н и б и | к о м и с с а р и | с у д ӣ | м у р о ф и а | б а | д а с т | н а о в а р д а н д |	382080	FEMALE
1084	18377247300392295763.wav	Ин на танҳо пашм доштани баъзе динозавтрҳоро тасдиқ мекунад, (ин назария алакай ба таври васеъ паҳн шудааст), балки он инчунин маълумотҳои иловагиеро дастрас мекунад, ки боқимондаҳо одатан онро ёфта наметавонанд, ба монанди ранг ва танзими сеандоза.	ин на танҳо пашм доштани баъзе динозавтрҳоро тасдиқ мекунад ин назария алакай ба таври васеъ паҳн шудааст балки он инчунин маълумотҳои иловагиеро дастрас мекунад ки боқимондаҳо одатан онро ёфта наметавонанд ба монанди ранг ва танзими сеандоза	и н | н а | т а н ҳ о | п а ш м | д о ш т а н и | б а ъ з е | д и н о з а в т р ҳ о р о | т а с д и қ | м е к у н а д | и н | н а з а р и я | а л а к а й | б а | т а в р и | в а с е ъ | п а ҳ н | ш у д а а с т | б а л к и | о н | и н ч у н и н | м а ъ л у м о т ҳ о и | и л о в а г и е р о | д а с т р а с | м е к у н а д | к и | б о қ и м о н д а ҳ о | о д а т а н | о н р о | ё ф т а | н а м е т а в о н а н д | б а | м о н а н д и | р а н г | в а | т а н з и м и | с е а н д о з а |	267840	FEMALE
21	4065547649446771392.wav	Дар рафти интихобот Ҳсие ишора ба он кард, ки Ма метавонад кишварро дар давраи буҳрон тарк намояд.	дар рафти интихобот ҳсие ишора ба он кард ки ма метавонад кишварро дар давраи буҳрон тарк намояд	д а р | р а ф т и | и н т и х о б о т | ҳ с и е | и ш о р а | б а | о н | к а р д | к и | м а | м е т а в о н а д | к и ш в а р р о | д а р | д а в р а и | б у ҳ р о н | т а р к | н а м о я д |	118080	MALE
1472	11646115265618812982.wav	Хушбахтона, ронандагон майли дар доираи хеле мувофиқ рафтор карданро доранд; ҳамин тариқ, ҷараёнҳои нақлиётӣ маъмулан ба пайдарпайии оқилона майл доранд ва метавонанд ба таври математикӣ тахминан ифода шаванд.	хушбахтона ронандагон майли дар доираи хеле мувофиқ рафтор карданро доранд ҳамин тариқ ҷараёнҳои нақлиётӣ маъмулан ба пайдарпайии оқилона майл доранд ва метавонанд ба таври математикӣ тахминан ифода шаванд	х у ш б а х т о н а | р о н а н д а г о н | м а й л и | д а р | д о и р а и | х е л е | м у в о ф и қ | р а ф т о р | к а р д а н р о | д о р а н д | ҳ а м и н | т а р и қ | ҷ а р а ё н ҳ о и | н а қ л и ё т ӣ | м а ъ м у л а н | б а | п а й д а р п а й и и | о қ и л о н а | м а й л | д о р а н д | в а | м е т а в о н а н д | б а | т а в р и | м а т е м а т и к ӣ | т а х м и н а н | и ф о д а | ш а в а н д |	270720	MALE
118	327639624725721407.wav	Энселад объекти аз ҳама бештар инъикоскунандаи системаи офтобӣ мебошад, ки он  тақрибан 90 фоизи нури офтоби ба он расидаро инъикос мекунад.	энселад объекти аз ҳама бештар инъикоскунандаи системаи офтобӣ мебошад ки он тақрибан 90 фоизи нури офтоби ба он расидаро инъикос мекунад	э н с е л а д | о б ъ е к т и | а з | ҳ а м а | б е ш т а р | и н ъ и к о с к у н а н д а и | с и с т е м а и | о ф т о б ӣ | м е б о ш а д | к и | о н | т а қ р и б а н | 9 0 | ф о и з и | н у р и | о ф т о б и | б а | о н | р а с и д а р о | и н ъ и к о с | м е к у н а д |	199680	FEMALE
441	2875287388918165178.wav	Ҳангоми асри XVIII Камбоҷа дар байни ду ҳамсояи пурқудрат - Тайланд ва Ветнам фишурда буд.	ҳангоми асри xviii камбоҷа дар байни ду ҳамсояи пурқудрат тайланд ва ветнам фишурда буд	ҳ а н г о м и | а с р и | x v i i i | к а м б о ҷ а | д а р | б а й н и | д у | ҳ а м с о я и | п у р қ у д р а т | т а й л а н д | в а | в е т н а м | ф и ш у р д а | б у д |	125760	FEMALE
366	6706345278277239197.wav	Ин аз он вобастагӣ дорад, ки қувваи барқе, ки ба розетка меояд, ки дар онҷо қисми оҳании лампа ҷойгир аст, метавонад зарбаи сахти электрикиро ба миён биёрад, агар шумо ба дохили розетка ё пояи металлии лампа дар ҳоле, ки он ҳанӯз қисман дар сӯрох аст, даст расонед.	ин аз он вобастагӣ дорад ки қувваи барқе ки ба розетка меояд ки дар онҷо қисми оҳании лампа ҷойгир аст метавонад зарбаи сахти электрикиро ба миён биёрад агар шумо ба дохили розетка ё пояи металлии лампа дар ҳоле ки он ҳанӯз қисман дар сӯрох аст даст расонед	и н | а з | о н | в о б а с т а г ӣ | д о р а д | к и | қ у в в а и | б а р қ е | к и | б а | р о з е т к а | м е о я д | к и | д а р | о н ҷ о | қ и с м и | о ҳ а н и и | л а м п а | ҷ о й г и р | а с т | м е т а в о н а д | з а р б а и | с а х т и | э л е к т р и к и р о | б а | м и ё н | б и ё р а д | а г а р | ш у м о | б а | д о х и л и | р о з е т к а | ё | п о я и | м е т а л л и и | л а м п а | д а р | ҳ о л е | к и | о н | ҳ а н ӯ з | қ и с м а н | д а р | с ӯ р о х | а с т | д а с т | р а с о н е д |	338880	FEMALE
5	11918016621229616734.wav	Расонаҳои ВАО хабар медиҳанд, ки дар фурудгоҳ ҳангоми амалиётҳои ҷавобӣ мошини оташхомӯшкунӣ чаппа шудааст.	расонаҳои вао хабар медиҳанд ки дар фурудгоҳ ҳангоми амалиётҳои ҷавобӣ мошини оташхомӯшкунӣ чаппа шудааст	р а с о н а ҳ о и | в а о | х а б а р | м е д и ҳ а н д | к и | д а р | ф у р у д г о ҳ | ҳ а н г о м и | а м а л и ё т ҳ о и | ҷ а в о б ӣ | м о ш и н и | о т а ш х о м ӯ ш к у н ӣ | ч а п п а | ш у д а а с т |	159360	FEMALE
1055	2996803529751883049.wav	Нерӯҳои сулҳовари СММ, ки баъди заминларзаи соли 2010 ба Ҳаитӣ ташриф оварданд, дар паҳн кардани бемории дар наздикии урдугоҳи артиш оғозёфта айбдор дониста мешаванд.	нерӯҳои сулҳовари смм ки баъди заминларзаи соли 2010 ба ҳаитӣ ташриф оварданд дар паҳн кардани бемории дар наздикии урдугоҳи артиш оғозёфта айбдор дониста мешаванд	н е р ӯ ҳ о и | с у л ҳ о в а р и | с м м | к и | б а ъ д и | з а м и н л а р з а и | с о л и | 2 0 1 0 | б а | ҳ а и т ӣ | т а ш р и ф | о в а р д а н д | д а р | п а ҳ н | к а р д а н и | б е м о р и и | д а р | н а з д и к и и | у р д у г о ҳ и | а р т и ш | о ғ о з ё ф т а | а й б д о р | д о н и с т а | м е ш а в а н д |	266880	FEMALE
128	13443537344790506680.wav	Муаллифони зиёди онҳо таъсири бузург ба шоу барномаи тақлидкорӣ Ҷон Стюарт ва Стивен Колберт расонидаанд.	муаллифони зиёди онҳо таъсири бузург ба шоу барномаи тақлидкорӣ ҷон стюарт ва стивен колберт расонидаанд	м у а л л и ф о н и | з и ё д и | о н ҳ о | т а ъ с и р и | б у з у р г | б а | ш о у | б а р н о м а и | т а қ л и д к о р ӣ | ҷ о н | с т ю а р т | в а | с т и в е н | к о л б е р т | р а с о н и д а а н д |	180480	FEMALE
1328	3045921137448112797.wav	Вай ҳатто тахмин мекунад, ки чунин қобилиятҳо дар тафсири рафтори инсон метавонанд барои чунин ҳайвонот, ба монанди сагҳои хонагӣ, маъмулӣ бошанд.	вай ҳатто тахмин мекунад ки чунин қобилиятҳо дар тафсири рафтори инсон метавонанд барои чунин ҳайвонот ба монанди сагҳои хонагӣ маъмулӣ бошанд	в а й | ҳ а т т о | т а х м и н | м е к у н а д | к и | ч у н и н | қ о б и л и я т ҳ о | д а р | т а ф с и р и | р а ф т о р и | и н с о н | м е т а в о н а н д | б а р о и | ч у н и н | ҳ а й в о н о т | б а | м о н а н д и | с а г ҳ о и | х о н а г ӣ | м а ъ м у л ӣ | б о ш а н д |	218880	FEMALE
1010	8610224321025598465.wav	Баъд аз пирӯз омадан дар Ames Straw Poll дар моҳи август, Бахман ба хулосае омад, ки маъракаи интихотобии худро ба охир расонад.	баъд аз пирӯз омадан дар ames straw poll дар моҳи август бахман ба хулосае омад ки маъракаи интихотобии худро ба охир расонад	б а ъ д | а з | п и р ӯ з | о м а д а н | д а р | a m e s | s t r a w | p o l l | д а р | м о ҳ и | а в г у с т | б а х м а н | б а | х у л о с а е | о м а д | к и | м а ъ р а к а и | и н т и х о т о б и и | х у д р о | б а | о х и р | р а с о н а д |	207360	FEMALE
519	16165053663041847955.wav	панҷаи дасти инсон аз панҷаи пояш бо буғумҳои кушода кӯтоҳтар мебошанд.	панҷаи дасти инсон аз панҷаи пояш бо буғумҳои кушода кӯтоҳтар мебошанд	п а н ҷ а и | д а с т и | и н с о н | а з | п а н ҷ а и | п о я ш | б о | б у ғ у м ҳ о и | к у ш о д а | к ӯ т о ҳ т а р | м е б о ш а н д |	124800	FEMALE
343	16525254181371848109.wav	Мо дар буҳрони молиявии яксолаи давомдор қарор дорем, ки дар ду моҳи охир лаҳзаи шадидтаринро аз сар гузаронд ва боварӣ дорам, ки дар ҳоли ҳозир барқароршавии бозорҳои молиявӣ оғоз мешавад."	мо дар буҳрони молиявии яксолаи давомдор қарор дорем ки дар ду моҳи охир лаҳзаи шадидтаринро аз сар гузаронд ва боварӣ дорам ки дар ҳоли ҳозир барқароршавии бозорҳои молиявӣ оғоз мешавад	м о | д а р | б у ҳ р о н и | м о л и я в и и | я к с о л а и | д а в о м д о р | қ а р о р | д о р е м | к и | д а р | д у | м о ҳ и | о х и р | л а ҳ з а и | ш а д и д т а р и н р о | а з | с а р | г у з а р о н д | в а | б о в а р ӣ | д о р а м | к и | д а р | ҳ о л и | ҳ о з и р | б а р қ а р о р ш а в и и | б о з о р ҳ о и | м о л и я в ӣ | о ғ о з | м е ш а в а д |	324480	MALE
403	10500923840821844553.wav	Аз киштиҳои зериобӣ дар ҷангҳои якум ва дуюми ҷаҳонӣ истифода мебурданд. Он вақт суръати ҳаракати онҳо хеле суст буда, дурии масофаи тирпарронияшон хеле маҳдуд буданд.	аз киштиҳои зериобӣ дар ҷангҳои якум ва дуюми ҷаҳонӣ истифода мебурданд он вақт суръати ҳаракати онҳо хеле суст буда дурии масофаи тирпарронияшон хеле маҳдуд буданд	а з | к и ш т и ҳ о и | з е р и о б ӣ | д а р | ҷ а н г ҳ о и | я к у м | в а | д у ю м и | ҷ а ҳ о н ӣ | и с т и ф о д а | м е б у р д а н д | о н | в а қ т | с у р ъ а т и | ҳ а р а к а т и | о н ҳ о | х е л е | с у с т | б у д а | д у р и и | м а с о ф а и | т и р п а р р о н и я ш о н | х е л е | м а ҳ д у д | б у д а н д |	250560	FEMALE
1017	3790096978955816965.wav	Рок‑гурӯҳ то 16 сентябр бояд ба сафари ҳунарии Иёлоти Муттаҳида ва Канада мерафт.	рок-гурӯҳ то 16 сентябр бояд ба сафари ҳунарии иёлоти муттаҳида ва канада мерафт	р о к - г у р ӯ ҳ | т о | 1 6 | с е н т я б р | б о я д | б а | с а ф а р и | ҳ у н а р и и | и ё л о т и | м у т т а ҳ и д а | в а | к а н а д а | м е р а ф т |	168960	FEMALE
1251	7141453328935092754.wav	Ҳама метавонанд ба рӯшанзамирӣ ноил шаванд. Шиддатнокӣ ва муносиботи манфии худи мо ягона чизест, ки садди роҳи ин ҳадаф мешавад.	ҳама метавонанд ба рӯшанзамирӣ ноил шаванд шиддатнокӣ ва муносиботи манфии худи мо ягона чизест ки садди роҳи ин ҳадаф мешавад	ҳ а м а | м е т а в о н а н д | б а | р ӯ ш а н з а м и р ӣ | н о и л | ш а в а н д | ш и д д а т н о к ӣ | в а | м у н о с и б о т и | м а н ф и и | х у д и | м о | я г о н а | ч и з е с т | к и | с а д д и | р о ҳ и | и н | ҳ а д а ф | м е ш а в а д |	216960	FEMALE
975	7607668620638726826.wav	Аммо, дар Малайзия, ҳадди аққал дар байни мардуми рустоии Малайзия, он маънои «биё»-ро дорад, ба монанди ангушти ишоратии ба бадан қатшуда, як ишораи дар баъзе кишварҳои ғарбӣ истифодашаванда мебошад ва бояд танҳо барои ҳамин мақсад ба кор бурда шавад.	аммо дар малайзия ҳадди аққал дар байни мардуми рустоии малайзия он маънои «биё»-ро дорад ба монанди ангушти ишоратии ба бадан қатшуда як ишораи дар баъзе кишварҳои ғарбӣ истифодашаванда мебошад ва бояд танҳо барои ҳамин мақсад ба кор бурда шавад	а м м о | д а р | м а л а й з и я | ҳ а д д и | а қ қ а л | д а р | б а й н и | м а р д у м и | р у с т о и и | м а л а й з и я | о н | м а ъ н о и | « б и ё » - р о | д о р а д | б а | м о н а н д и | а н г у ш т и | и ш о р а т и и | б а | б а д а н | қ а т ш у д а | я к | и ш о р а и | д а р | б а ъ з е | к и ш в а р ҳ о и | ғ а р б ӣ | и с т и ф о д а ш а в а н д а | м е б о ш а д | в а | б о я д | т а н ҳ о | б а р о и | ҳ а м и н | м а қ с а д | б а | к о р | б у р д а | ш а в а д |	395520	FEMALE
1109	12143734700598564452.wav	Пас аз Асрҳои Баланди Миёна Асрҳои Барвақтии Миёна меоянд, пас аз он Асрҳои миёнаи дертар шудаанд, ки аз рӯи анъана тахминан солҳои 1500 ба охир мерасанд.	пас аз асрҳои баланди миёна асрҳои барвақтии миёна меоянд пас аз он асрҳои миёнаи дертар шудаанд ки аз рӯи анъана тахминан солҳои 1500 ба охир мерасанд	п а с | а з | а с р ҳ о и | б а л а н д и | м и ё н а | а с р ҳ о и | б а р в а қ т и и | м и ё н а | м е о я н д | п а с | а з | о н | а с р ҳ о и | м и ё н а и | д е р т а р | ш у д а а н д | к и | а з | р ӯ и | а н ъ а н а | т а х м и н а н | с о л ҳ о и | 1 5 0 0 | б а | о х и р | м е р а с а н д |	356160	MALE
513	1680794136599518200.wav	ИГНД (Ихтилоли норасоии диққат) ба муносибот бо дигар ҳамсолон таъсир мерасонад, чунки дигар кӯдакон дарк карда наметавонанд, ки чаро ин гуна кӯдакон чунин рафтор мекунанд ё чаро онҳо чунин менависанд ё сатҳи камолоти онҳо аз ин гуна кӯдакон фарқ мекунад.	игнд ихтилоли норасоии диққат ба муносибот бо дигар ҳамсолон таъсир мерасонад чунки дигар кӯдакон дарк карда наметавонанд ки чаро ин гуна кӯдакон чунин рафтор мекунанд ё чаро онҳо чунин менависанд ё сатҳи камолоти онҳо аз ин гуна кӯдакон фарқ мекунад	и г н д | и х т и л о л и | н о р а с о и и | д и қ қ а т | б а | м у н о с и б о т | б о | д и г а р | ҳ а м с о л о н | т а ъ с и р | м е р а с о н а д | ч у н к и | д и г а р | к ӯ д а к о н | д а р к | к а р д а | н а м е т а в о н а н д | к и | ч а р о | и н | г у н а | к ӯ д а к о н | ч у н и н | р а ф т о р | м е к у н а н д | ё | ч а р о | о н ҳ о | ч у н и н | м е н а в и с а н д | ё | с а т ҳ и | к а м о л о т и | о н ҳ о | а з | и н | г у н а | к ӯ д а к о н | ф а р қ | м е к у н а д |	321600	FEMALE
462	6765323929483023647.wav	Аз ин лиҳоз, ҳар он чизеро, ки шумо дар телевизион мебинед, ҳошияҳои аз канорҳо, боло, поён ва паҳлӯҳо буридашуда доранд.	аз ин лиҳоз ҳар он чизеро ки шумо дар телевизион мебинед ҳошияҳои аз канорҳо боло поён ва паҳлӯҳо буридашуда доранд	а з | и н | л и ҳ о з | ҳ а р | о н | ч и з е р о | к и | ш у м о | д а р | т е л е в и з и о н | м е б и н е д | ҳ о ш и я ҳ о и | а з | к а н о р ҳ о | б о л о | п о ё н | в а | п а ҳ л ӯ ҳ о | б у р и д а ш у д а | д о р а н д |	212160	MALE
794	16493725099708205300.wav	Баъзе кишварҳо ё намудҳои мағозаҳо ҳадди аққал як тарабхонаи маҳаллие доранд, ки аксар вақт ғайрирасмӣ ва бо нархҳои дастрас мебошад.	баъзе кишварҳо ё намудҳои мағозаҳо ҳадди аққал як тарабхонаи маҳаллие доранд ки аксар вақт ғайрирасмӣ ва бо нархҳои дастрас мебошад	б а ъ з е | к и ш в а р ҳ о | ё | н а м у д ҳ о и | м а ғ о з а ҳ о | ҳ а д д и | а қ қ а л | я к | т а р а б х о н а и | м а ҳ а л л и е | д о р а н д | к и | а к с а р | в а қ т | ғ а й р и р а с м ӣ | в а | б о | н а р х ҳ о и | д а с т р а с | м е б о ш а д |	157440	MALE
289	2610629128688017302.wav	"Бешубҳа сабти камераҳои назоратӣ барои онҳое, ки бо ҳайвонот сарукор доранд, як огоҳии ҷиддӣ хоҳад буд, ки беҳбудии онҳо авлавияти аввалиндараҷа маҳсуб меёбад."	бешубҳа сабти камераҳои назоратӣ барои онҳое ки бо ҳайвонот сарукор доранд як огоҳии ҷиддӣ хоҳад буд ки беҳбудии онҳо авлавияти аввалиндараҷа маҳсуб меёбад	б е ш у б ҳ а | с а б т и | к а м е р а ҳ о и | н а з о р а т ӣ | б а р о и | о н ҳ о е | к и | б о | ҳ а й в о н о т | с а р у к о р | д о р а н д | я к | о г о ҳ и и | ҷ и д д ӣ | х о ҳ а д | б у д | к и | б е ҳ б у д и и | о н ҳ о | а в л а в и я т и | а в в а л и н д а р а ҷ а | м а ҳ с у б | м е ё б а д |	288000	FEMALE
1205	7309035884738287723.wav	Барнома ба вақти маҳаллӣ соати 20:30 (15:00 UTC) шурӯъ шуд.	барнома ба вақти маҳаллӣ соати 20:30 15:00 utc шурӯъ шуд	б а р н о м а | б а | в а қ т и | м а ҳ а л л ӣ | с о а т и | 2 0 : 3 0 | 1 5 : 0 0 | u t c | ш у р ӯ ъ | ш у д |	156480	FEMALE
