456	4136832718535352191.wav	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا.	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا	ا ه و | م س ئ ل و | گ ه ٽ | ٿ ي ن د و | پ ي و | و ڃ ي | ڇ و | ت ہ | ل ي ن س | ٺ ا ه ي ن د ڙ | ل ي ن س | ج ي | پ ئ د ا و ا ر | ۾ | ا ع ل ي ٰ | م ع ي ا ر | ح ا ص ل | ڪ ن | ٿ ا |	109440	FEMALE
959	3675576627841383517.wav	ڪو بہ ايئر لائن اتحاد ڏکڻ هيمسفيئر ۾ ٽئي سامونڊي ڪراسنگ ڪور نٿو ڪري (۽ SkyTeam ڪو بہ ڪراسنگ ڪور نٿي ڪري).	ڪو بہ ايئر لائن اتحاد ڏکڻ هيمسفيئر ۾ ٽئي سامونڊي ڪراسنگ ڪور نٿو ڪري ۽ skyteam ڪو بہ ڪراسنگ ڪور نٿي ڪري	ڪ و | ب ہ | ا ي ئ ر | ل ا ئ ن | ا ت ح ا د | ڏ ک ڻ | ه ي م س ف ي ئ ر | ۾ | ٽ ئ ي | س ا م و ن ڊ ي | ڪ ر ا س ن گ | ڪ و ر | ن ٿ و | ڪ ر ي | ۽ | s k y t e a m | ڪ و | ب ہ | ڪ ر ا س ن گ | ڪ و ر | ن ٿ ي | ڪ ر ي |	188160	FEMALE
1406	7183141166183371378.wav	U.S. جي بچاءُ وري آفيس جي آمريڪي اسٽريٽجڪ ڪمانڊ ڍير جو پتو لڳائي رهي آهي.	u.s. جي بچاءُ وري آفيس جي آمريڪي اسٽريٽجڪ ڪمانڊ ڍير جو پتو لڳائي رهي آهي	u . s . | ج ي | ب چ ا ء ُ | و ر ي | آ ف ي س | ج ي | آ م ر ي ڪ ي | ا س ٽ ر ي ٽ ج ڪ | ڪ م ا ن ڊ | ڍ ي ر | ج و | پ ت و | ل ڳ ا ئ ي | ر ه ي | آ ه ي |	116160	FEMALE
573	1927006623772476179.wav	آرمي اينٽ ڪالونيون مختلف مرحلن ۾ مارچ ۽ نيسٽ پڻ ڪن ٿيون.	آرمي اينٽ ڪالونيون مختلف مرحلن ۾ مارچ ۽ نيسٽ پڻ ڪن ٿيون	آ ر م ي | ا ي ن ٽ | ڪ ا ل و ن ي و ن | م خ ت ل ف | م ر ح ل ن | ۾ | م ا ر چ | ۽ | ن ي س ٽ | پ ڻ | ڪ ن | ٿ ي و ن |	145920	MALE
785	9372398838736486749.wav	گهڻا ٻاهريان جانور ڳولڻ مشڪل آهن، ۽ ڪڏهن ڪڏهن پارڪ ۾ ڪمرشل مقصد جي لاءِ تصوير ڪڍڻ بابت قاعدا آهن.	گهڻا ٻاهريان جانور ڳولڻ مشڪل آهن ۽ ڪڏهن ڪڏهن پارڪ ۾ ڪمرشل مقصد جي لاءِ تصوير ڪڍڻ بابت قاعدا آهن	گ ه ڻ ا | ٻ ا ه ر ي ا ن | ج ا ن و ر | ڳ و ل ڻ | م ش ڪ ل | آ ه ن | ۽ | ڪ ڏ ه ن | ڪ ڏ ه ن | پ ا ر ڪ | ۾ | ڪ م ر ش ل | م ق ص د | ج ي | ل ا ء ِ | ت ص و ي ر | ڪ ڍ ڻ | ب ا ب ت | ق ا ع د ا | آ ه ن |	158400	MALE
894	17265412403328778479.wav	اهي وڌيڪ تيز نہ هوندا آهن تنهنڪري مٿانهن پٽ تي پهچڻ لاءِ ٽرانس انٽارڪٽڪ جبل جي چوڌاري ڊگهو گهمڻو پوندو.	اهي وڌيڪ تيز نہ هوندا آهن تنهنڪري مٿانهن پٽ تي پهچڻ لاءِ ٽرانس انٽارڪٽڪ جبل جي چوڌاري ڊگهو گهمڻو پوندو	ا ه ي | و ڌ ي ڪ | ت ي ز | ن ہ | ه و ن د ا | آ ه ن | ت ن ه ن ڪ ر ي | م ٿ ا ن ه ن | پ ٽ | ت ي | پ ه چ ڻ | ل ا ء ِ | ٽ ر ا ن س | ا ن ٽ ا ر ڪ ٽ ڪ | ج ب ل | ج ي | چ و ڌ ا ر ي | ڊ گ ه و | گ ه م ڻ و | پ و ن د و |	235200	FEMALE
1186	9912195981909917390.wav	فارسين وٽ نسبتاً آسان ۽ گهڻو ڪري با ترتيب گرامر آهي.	فارسين وٽ نسبتاً آسان ۽ گهڻو ڪري با ترتيب گرامر آهي	ف ا ر س ي ن | و ٽ | ن س ب ت ا ً | آ س ا ن | ۽ | گ ه ڻ و | ڪ ر ي | ب ا | ت ر ت ي ب | گ ر ا م ر | آ ه ي |	103680	FEMALE
285	16325113218942725365.wav	گذريل مهيني پولينڊ ۾ گهڻا احتجاج ٿيا جڏهن ان ملڪ ACTA تي صحي ڪئي، جنهن جي ڪري پولش حڪومت هاڻي جي لاءِ معاهدي تي صحي نہ ڪرڻ جو فيصلو ڪيو آهي.	گذريل مهيني پولينڊ ۾ گهڻا احتجاج ٿيا جڏهن ان ملڪ acta تي صحي ڪئي جنهن جي ڪري پولش حڪومت هاڻي جي لاءِ معاهدي تي صحي نہ ڪرڻ جو فيصلو ڪيو آهي	گ ذ ر ي ل | م ه ي ن ي | پ و ل ي ن ڊ | ۾ | گ ه ڻ ا | ا ح ت ج ا ج | ٿ ي ا | ج ڏ ه ن | ا ن | م ل ڪ | a c t a | ت ي | ص ح ي | ڪ ئ ي | ج ن ه ن | ج ي | ڪ ر ي | پ و ل ش | ح ڪ و م ت | ه ا ڻ ي | ج ي | ل ا ء ِ | م ع ا ه د ي | ت ي | ص ح ي | ن ہ | ڪ ر ڻ | ج و | ف ي ص ل و | ڪ ي و | آ ه ي |	289920	MALE
313	10348563634007741857.wav	30 سالن جو مڙس، جيڪو بفيلو ۾ پيدا ٿيو هو، شوٽنگ ۾ مرڻ وارن 4 ڄڻن ۾ هڪ هو، پر هن جي زال کي ڪو ڌڪ نہ لڳو هو.	30 سالن جو مڙس جيڪو بفيلو ۾ پيدا ٿيو هو شوٽنگ ۾ مرڻ وارن 4 ڄڻن ۾ هڪ هو پر هن جي زال کي ڪو ڌڪ نہ لڳو هو	3 0 | س ا ل ن | ج و | م ڙ س | ج ي ڪ و | ب ف ي ل و | ۾ | پ ي د ا | ٿ ي و | ه و | ش و ٽ ن گ | ۾ | م ر ڻ | و ا ر ن | 4 | ڄ ڻ ن | ۾ | ه ڪ | ه و | پ ر | ه ن | ج ي | ز ا ل | ک ي | ڪ و | ڌ ڪ | ن ہ | ل ڳ و | ه و |	172800	MALE
391	6225987197076049743.wav	دنيا جو سڀ کان پهريون ڄاتل ڪتاب سنسڪرت ۾ لکيو ويو. اپنيشد جي ترتيب کانپوءِ سنسڪرت صرف درجا بندي جي ڪري ختم ٿي وئي.	دنيا جو سڀ کان پهريون ڄاتل ڪتاب سنسڪرت ۾ لکيو ويو اپنيشد جي ترتيب کانپوءِ سنسڪرت صرف درجا بندي جي ڪري ختم ٿي وئي	د ن ي ا | ج و | س ڀ | ک ا ن | پ ه ر ي و ن | ڄ ا ت ل | ڪ ت ا ب | س ن س ڪ ر ت | ۾ | ل ک ي و | و ي و | ا پ ن ي ش د | ج ي | ت ر ت ي ب | ک ا ن پ و ء ِ | س ن س ڪ ر ت | ص ر ف | د ر ج ا | ب ن د ي | ج ي | ڪ ر ي | خ ت م | ٿ ي | و ئ ي |	226560	MALE
880	14850121428956546475.wav	ڪيتريون حڪومتون پنهنجي ملڪ ۾ اچڻ وارن مسافرن، يا رهائيشن کي مختلف بيمارين جي ويڪسين ڪرائڻ جي گهرج ڪري ٿي.	ڪيتريون حڪومتون پنهنجي ملڪ ۾ اچڻ وارن مسافرن يا رهائيشن کي مختلف بيمارين جي ويڪسين ڪرائڻ جي گهرج ڪري ٿي	ڪ ي ت ر ي و ن | ح ڪ و م ت و ن | پ ن ه ن ج ي | م ل ڪ | ۾ | ا چ ڻ | و ا ر ن | م س ا ف ر ن | ي ا | ر ه ا ئ ي ش ن | ک ي | م خ ت ل ف | ب ي م ا ر ي ن | ج ي | و ي ڪ س ي ن | ڪ ر ا ئ ڻ | ج ي | گ ه ر ج | ڪ ر ي | ٿ ي |	123840	FEMALE
803	981390482193516117.wav	ضرورت کان وڌيڪ شراب پيئڻ سان وڏي عرصي تائين صحت تي ممڪن اثر جنهن ۾ جيري کي نقصان پهچڻ ۽ اندو ٿيڻ ۽ موت پڻ شامل ٿي سگهن ٿا. غير قانوني طور تي تيار ٿيل الڪوحل جي استعمال سان ممڪن خطرو وڌي ويندو آهي.	ضرورت کان وڌيڪ شراب پيئڻ سان وڏي عرصي تائين صحت تي ممڪن اثر جنهن ۾ جيري کي نقصان پهچڻ ۽ اندو ٿيڻ ۽ موت پڻ شامل ٿي سگهن ٿا غير قانوني طور تي تيار ٿيل الڪوحل جي استعمال سان ممڪن خطرو وڌي ويندو آهي	ض ر و ر ت | ک ا ن | و ڌ ي ڪ | ش ر ا ب | پ ي ئ ڻ | س ا ن | و ڏ ي | ع ر ص ي | ت ا ئ ي ن | ص ح ت | ت ي | م م ڪ ن | ا ث ر | ج ن ه ن | ۾ | ج ي ر ي | ک ي | ن ق ص ا ن | پ ه چ ڻ | ۽ | ا ن د و | ٿ ي ڻ | ۽ | م و ت | پ ڻ | ش ا م ل | ٿ ي | س گ ه ن | ٿ ا | غ ي ر | ق ا ن و ن ي | ط و ر | ت ي | ت ي ا ر | ٿ ي ل | ا ل ڪ و ح ل | ج ي | ا س ت ع م ا ل | س ا ن | م م ڪ ن | خ ط ر و | و ڌ ي | و ي ن د و | آ ه ي |	330240	MALE
729	9441007244491528894.wav	ڪجهه ڏوڪڙن لاءِ، ڪجهه ٻار اوهان کي سڄي ڪهاڻي ٻڌائيندا.	ڪجهه ڏوڪڙن لاءِ ڪجهه ٻار اوهان کي سڄي ڪهاڻي ٻڌائيندا	ڪ ج ه ه | ڏ و ڪ ڙ ن | ل ا ء ِ | ڪ ج ه ه | ٻ ا ر | ا و ه ا ن | ک ي | س ڄ ي | ڪ ه ا ڻ ي | ٻ ڌ ا ئ ي ن د ا |	87360	FEMALE
1344	12071723281142728614.wav	شينهن، چيتا ۽ ليوپارڊز ڪڏهن شرميلا هوندا آهن ۽ توهان انهن کي دوربينن سان بهتر ڏسندا.	شينهن چيتا ۽ ليوپارڊز ڪڏهن شرميلا هوندا آهن ۽ توهان انهن کي دوربينن سان بهتر ڏسندا	ش ي ن ه ن | چ ي ت ا | ۽ | ل ي و پ ا ر ڊ ز | ڪ ڏ ه ن | ش ر م ي ل ا | ه و ن د ا | آ ه ن | ۽ | ت و ه ا ن | ا ن ه ن | ک ي | د و ر ب ي ن ن | س ا ن | ب ه ت ر | ڏ س ن د ا |	161280	MALE
675	8962695119493061464.wav	ڪار ذريعي ڏکڻ آفريڪا ۾ داخل ٿيڻ خطي جي سڄي خوبصورتي ڏسڻ ۽ عام سياحتي رستن تان الڳ وڃڻ لاءِ هڪ حيرت انگيز طريقو آهي.	ڪار ذريعي ڏکڻ آفريڪا ۾ داخل ٿيڻ خطي جي سڄي خوبصورتي ڏسڻ ۽ عام سياحتي رستن تان الڳ وڃڻ لاءِ هڪ حيرت انگيز طريقو آهي	ڪ ا ر | ذ ر ي ع ي | ڏ ک ڻ | آ ف ر ي ڪ ا | ۾ | د ا خ ل | ٿ ي ڻ | خ ط ي | ج ي | س ڄ ي | خ و ب ص و ر ت ي | ڏ س ڻ | ۽ | ع ا م | س ي ا ح ت ي | ر س ت ن | ت ا ن | ا ل ڳ | و ڃ ڻ | ل ا ء ِ | ه ڪ | ح ي ر ت | ا ن گ ي ز | ط ر ي ق و | آ ه ي |	250560	MALE
85	8977247053346835671.wav	دٻيل برف کان علاوه، انتهائي خراب موسمي حالتون بچاءُ جي ڪوششن ۾ رنڊڪ وجهي رهيون آهن.	دٻيل برف کان علاوه انتهائي خراب موسمي حالتون بچاءُ جي ڪوششن ۾ رنڊڪ وجهي رهيون آهن	د ٻ ي ل | ب ر ف | ک ا ن | ع ل ا و ه | ا ن ت ه ا ئ ي | خ ر ا ب | م و س م ي | ح ا ل ت و ن | ب چ ا ء ُ | ج ي | ڪ و ش ش ن | ۾ | ر ن ڊ ڪ | و ج ه ي | ر ه ي و ن | آ ه ن |	129600	FEMALE
595	4516103479034351129.wav	جانور سڄي زمين ۾ ملن ٿا. اهي زمين کي کوٽيندا آهن، سمنڊن ۾ ترندا آهن، ۽ آسمان ۾ اڏامندا آهن.	جانور سڄي زمين ۾ ملن ٿا اهي زمين کي کوٽيندا آهن سمنڊن ۾ ترندا آهن ۽ آسمان ۾ اڏامندا آهن	ج ا ن و ر | س ڄ ي | ز م ي ن | ۾ | م ل ن | ٿ ا | ا ه ي | ز م ي ن | ک ي | ک و ٽ ي ن د ا | آ ه ن | س م ن ڊ ن | ۾ | ت ر ن د ا | آ ه ن | ۽ | آ س م ا ن | ۾ | ا ڏ ا م ن د ا | آ ه ن |	147840	FEMALE
914	14836388343020632768.wav	گهڻو ڪري، توهان کي هڪ عالمي نمبر الڳ سان وٺڻ جي ضرورت پوندي آهي جيڪو PSTN فونن کي توهان ڏانهن ڪال ڪرڻ ڏي ٿو. اهو نمبر ڪٿان کان آهي توهان کي فون ڪرڻ وارن ماڻهن کي فرق پوي ٿو.	گهڻو ڪري توهان کي هڪ عالمي نمبر الڳ سان وٺڻ جي ضرورت پوندي آهي جيڪو pstn فونن کي توهان ڏانهن ڪال ڪرڻ ڏي ٿو اهو نمبر ڪٿان کان آهي توهان کي فون ڪرڻ وارن ماڻهن کي فرق پوي ٿو	گ ه ڻ و | ڪ ر ي | ت و ه ا ن | ک ي | ه ڪ | ع ا ل م ي | ن م ب ر | ا ل ڳ | س ا ن | و ٺ ڻ | ج ي | ض ر و ر ت | پ و ن د ي | آ ه ي | ج ي ڪ و | p s t n | ف و ن ن | ک ي | ت و ه ا ن | ڏ ا ن ه ن | ڪ ا ل | ڪ ر ڻ | ڏ ي | ٿ و | ا ه و | ن م ب ر | ڪ ٿ ا ن | ک ا ن | آ ه ي | ت و ه ا ن | ک ي | ف و ن | ڪ ر ڻ | و ا ر ن | م ا ڻ ه ن | ک ي | ف ر ق | پ و ي | ٿ و |	225600	FEMALE
749	10810774741206797146.wav	سيٽنگ هڪ قديمي پراڻي عمارت ۾ ٿي سگهي ٿي جنهن ۾ پراچين قسمن جو سامان، ساوڪ سان ڀريل ميدان ۽ هڪ سوئمنگ پول هجي.	سيٽنگ هڪ قديمي پراڻي عمارت ۾ ٿي سگهي ٿي جنهن ۾ پراچين قسمن جو سامان ساوڪ سان ڀريل ميدان ۽ هڪ سوئمنگ پول هجي	س ي ٽ ن گ | ه ڪ | ق د ي م ي | پ ر ا ڻ ي | ع م ا ر ت | ۾ | ٿ ي | س گ ه ي | ٿ ي | ج ن ه ن | ۾ | پ ر ا چ ي ن | ق س م ن | ج و | س ا م ا ن | س ا و ڪ | س ا ن | ڀ ر ي ل | م ي د ا ن | ۽ | ه ڪ | س و ئ م ن گ | پ و ل | ه ج ي |	154560	FEMALE
945	9672445217015025075.wav	ڪنهن جاءِ تي ڊگهي عرصي تائين رهن جي اجازت لاءِ هڪ بجيٽ کي وڌائن بھترين طريقو ٿي سگھي ٿو ڇو ته گهڻيون رضاڪاراڻيون نوڪريون ڪمرو ۽ بورڊ فراهم ڪن ٿيون ۽ ڪجھ تمام ٿوڙي پگهار ڏينديون آهن.	ڪنهن جاءِ تي ڊگهي عرصي تائين رهن جي اجازت لاءِ هڪ بجيٽ کي وڌائن بھترين طريقو ٿي سگھي ٿو ڇو ته گهڻيون رضاڪاراڻيون نوڪريون ڪمرو ۽ بورڊ فراهم ڪن ٿيون ۽ ڪجھ تمام ٿوڙي پگهار ڏينديون آهن	ڪ ن ه ن | ج ا ء ِ | ت ي | ڊ گ ه ي | ع ر ص ي | ت ا ئ ي ن | ر ه ن | ج ي | ا ج ا ز ت | ل ا ء ِ | ه ڪ | ب ج ي ٽ | ک ي | و ڌ ا ئ ن | ب ھ ت ر ي ن | ط ر ي ق و | ٿ ي | س گ ھ ي | ٿ و | ڇ و | ت ه | گ ه ڻ ي و ن | ر ض ا ڪ ا ر ا ڻ ي و ن | ن و ڪ ر ي و ن | ڪ م ر و | ۽ | ب و ر ڊ | ف ر ا ه م | ڪ ن | ٿ ي و ن | ۽ | ڪ ج ھ | ت م ا م | ٿ و ڙ ي | پ گ ه ا ر | ڏ ي ن د ي و ن | آ ه ن |	382080	FEMALE
257	12978993176258981249.wav	هن چيو تہ، "ان قسم جي ڪا بہ انٽيليجينس ناهي جيڪو حملي جي تڪڙي امڪان بابت تجويز ڏي.	هن چيو تہ ان قسم جي ڪا بہ انٽيليجينس ناهي جيڪو حملي جي تڪڙي امڪان بابت تجويز ڏي	ه ن | چ ي و | ت ہ | ا ن | ق س م | ج ي | ڪ ا | ب ہ | ا ن ٽ ي ل ي ج ي ن س | ن ا ه ي | ج ي ڪ و | ح م ل ي | ج ي | ت ڪ ڙ ي | ا م ڪ ا ن | ب ا ب ت | ت ج و ي ز | ڏ ي |	150720	FEMALE
