701	6523110200644756091.wav	دا غوښتنی د دواړه هیوادونو تر منځ د هجرت د منظم بهیر منځ ته راوړلو په خاطر طرحه شوي	دا غوښتنی د دواړه هیوادونو تر منځ د هجرت د منظم بهیر منځ ته راوړلو په خاطر طرحه شوي	د ا | غ و ښ ت ن ی | د | د و ا ړ ه | ه ی و ا د و ن و | ت ر | م ن ځ | د | ه ج ر ت | د | م ن ظ م | ب ه ی ر | م ن ځ | ت ه | ر ا و ړ ل و | پ ه | خ ا ط ر | ط ر ح ه | ش و ي |	178560	MALE
1340	83065038760907543.wav	دا په هغه وخت کې وشول کله چې د فیشني پایتخت لقب له قسطنطنیې څخه پاریس ته انتقال شول.	دا په هغه وخت کې وشول کله چې د فیشني پایتخت لقب له قسطنطنیې څخه پاریس ته انتقال شول	د ا | پ ه | ه غ ه | و خ ت | ک ې | و ش و ل | ک ل ه | چ ې | د | ف ی ش ن ي | پ ا ی ت خ ت | ل ق ب | ل ه | ق س ط ن ط ن ی ې | څ خ ه | پ ا ر ی س | ت ه | ا ن ت ق ا ل | ش و ل |	120960	MALE
484	13401061527114214400.wav	تعقیب کوونکې د ژوند د بیلا بیلو معتبرو لارو تعقیب کوي ، یا هم تمرینونه چې ددې تجربو د تقويه یې هدف دي	تعقیب کوونکې د ژوند د بیلا بیلو معتبرو لارو تعقیب کوي یا هم تمرینونه چې ددې تجربو د تقويه یې هدف دي	ت ع ق ی ب | ک و و ن ک ې | د | ژ و ن د | د | ب ی ل ا | ب ی ل و | م ع ت ب ر و | ل ا ر و | ت ع ق ی ب | ک و ي | ی ا | ه م | ت م ر ی ن و ن ه | چ ې | د د ې | ت ج ر ب و | د | ت ق و ي ه | ی ې | ه د ف | د ي |	129600	MALE
12	17096670665907347801.wav	د نډال Nadal د کاناډایانو په خلاف سر په سر ریکارډ 2-7 دي	د نډال nadal د کاناډایانو په خلاف سر په سر ریکارډ 2-7 دي	د | ن ډ ا ل | n a d a l | د | ک ا ن ا ډ ا ی ا ن و | پ ه | خ ل ا ف | س ر | پ ه | س ر | ر ی ک ا ر ډ | 2 - 7 | د ي |	155520	FEMALE
1128	14929285431278734536.wav	چارواکي اټکل کوي چې دا په ګوته کوي چې په دغه ځای کې کانټینرونه چې د یورانیم خشاک لري کيدې شي چې مسموم شوي وي او یا به ترې ليکيج کيږي.	چارواکي اټکل کوي چې دا په ګوته کوي چې په دغه ځای کې کانټینرونه چې د یورانیم خشاک لري کيدې شي چې مسموم شوي وي او یا به ترې ليکيج کيږي	چ ا ر و ا ک ي | ا ټ ک ل | ک و ي | چ ې | د ا | پ ه | ګ و ت ه | ک و ي | چ ې | پ ه | د غ ه | ځ ا ی | ک ې | ک ا ن ټ ی ن ر و ن ه | چ ې | د | ی و ر ا ن ی م | خ ش ا ک | ل ر ي | ک ي د ې | ش ي | چ ې | م س م و م | ش و ي | و ي | ا و | ی ا | ب ه | ت ر ې | ل ي ک ي ج | ک ي ږ ي |	165120	MALE
451	10137323169822936706.wav	د سیرینګیټی ساحه د سیرنګیټیserengiti په نیشنل پارک باندي مشتمله ده ، د نګورنګورو ngorongoro ساتل شوي ساحه او په تنزانیا tanzaniaکې د مسوا ګیم maswa game ساتل شوي ساحه او په کېنیا kenya کې د مسای مارا نیشنل پارک masai mara national park ساتل شوي ځای	د سیرینګیټی ساحه د سیرنګیټیserengiti په نیشنل پارک باندي مشتمله ده ، د نګورنګورو ngorongoro ساتل شوي ساحه او په تنزانیا tanzaniaکې د مسوا ګیم maswa game ساتل شوي ساحه او په کېنیا kenya کې د مسای مارا نیشنل پارک masai mara national park ساتل شوي ځای	د | س ی ر ی ن ګ ی ټ ی | س ا ح ه | د | س ی ر ن ګ ی ټ ی s e r e n g i t i | پ ه | ن ی ش ن ل | پ ا ر ک | ب ا ن د ي | م ش ت م ل ه | د ه | ، | د | ن ګ و ر ن ګ و ر و | n g o r o n g o r o | س ا ت ل | ش و ي | س ا ح ه | ا و | پ ه | ت ن ز ا ن ی ا | t a n z a n i a ک ې | د | م س و ا | ګ ی م | m a s w a | g a m e | س ا ت ل | ش و ي | س ا ح ه | ا و | پ ه | ک ې ن ی ا | k e n y a | ک ې | د | م س ا ی | م ا ر ا | ن ی ش ن ل | پ ا ر ک | m a s a i | m a r a | n a t i o n a l | p a r k | س ا ت ل | ش و ي | ځ ا ی |	403200	MALE
88	18410551299504912005.wav	د ریډ لیک red lakeپه ټولنه کې نن خبر هغه وخت خپور شو چې دجیف ويس jeff weise او د نهو څخه د درې نورو متاثرو جنازی مراسم تر سره کېدل . چې یو بل زده کوونکې د مارچ د 21 په ډزو کې د لاس لرلو په تور و نیول شو	د ریډ لیک red lakeپه ټولنه کې نن خبر هغه وخت خپور شو چې دجیف ويس jeff weise او د نهو څخه د درې نورو متاثرو جنازی مراسم تر سره کېدل . چې یو بل زده کوونکې د مارچ د 21 په ډزو کې د لاس لرلو په تور و نیول شو	د | ر ی ډ | ل ی ک | r e d | l a k e پ ه | ټ و ل ن ه | ک ې | ن ن | خ ب ر | ه غ ه | و خ ت | خ پ و ر | ش و | چ ې | د ج ی ف | و ي س | j e f f | w e i s e | ا و | د | ن ه و | څ خ ه | د | د ر ې | ن و ر و | م ت ا ث ر و | ج ن ا ز ی | م ر ا س م | ت ر | س ر ه | ک ې د ل | . | چ ې | ی و | ب ل | ز د ه | ک و و ن ک ې | د | م ا ر چ | د | 2 1 | پ ه | ډ ز و | ک ې | د | ل ا س | ل ر ل و | پ ه | ت و ر | و | ن ی و ل | ش و |	384000	MALE
989	3220723434230703163.wav	په روګلیند او اګدر کې هغوی په عمومي ډول د "Hei" په نامه سره یادیږي چې معنې یې د ونو بغیر د وښو ډک او په ځنګلي ګلانو پوښل شوي ځای ته وایي.	په روګلیند او اګدر کې هغوی په عمومي ډول د hei په نامه سره یادیږي چې معنې یې د ونو بغیر د وښو ډک او په ځنګلي ګلانو پوښل شوي ځای ته وایي	پ ه | ر و ګ ل ی ن د | ا و | ا ګ د ر | ک ې | ه غ و ی | پ ه | ع م و م ي | ډ و ل | د | h e i | پ ه | ن ا م ه | س ر ه | ی ا د ی ږ ي | چ ې | م ع ن ې | ی ې | د | و ن و | ب غ ی ر | د | و ښ و | ډ ک | ا و | پ ه | ځ ن ګ ل ي | ګ ل ا ن و | پ و ښ ل | ش و ي | ځ ا ی | ت ه | و ا ی ي |	218880	MALE
1476	8257019490903806955.wav	په ناروی سویډن او نوی زیلانډ کی دا برابره ده او د بل پلوه هیرانووکی هم ده چی د( مثال په ډول په نیدرلینډ کی ارقام د یو څخه تر څلویښتو دی )	په ناروی سویډن او نوی زیلانډ کی دا برابره ده او د بل پلوه هیرانووکی هم ده چی د مثال په ډول په نیدرلینډ کی ارقام د یو څخه تر څلویښتو دی 	پ ه | ن ا ر و ی | س و ی ډ ن | ا و | ن و ی | ز ی ل ا ن ډ | ک ی | د ا | ب ر ا ب ر ه | د ه | ا و | د | ب ل | پ ل و ه | ه ی ر ا ن و و ک ی | ه م | د ه | چ ی | د | م ث ا ل | پ ه | ډ و ل | پ ه | ن ی د ر ل ی ن ډ | ک ی | ا ر ق ا م | د | ی و | څ خ ه | ت ر | څ ل و ی ښ ت و | د ی |	168960	MALE
276	2520309836159577384.wav	د کومین پالیسي پالن شوې والدین نامناسبه کړې ځکه چې د پالن شوي والدین څرنګوالي مصرف کولو په اړه د پاتې څیړنې له امله اؤ د هغې پیسو راپور ورکوي چې د نماینده کلف سټارنس لخوا ترسره کیږي.	د کومین پالیسي پالن شوې والدین نامناسبه کړې ځکه چې د پالن شوي والدین څرنګوالي مصرف کولو په اړه د پاتې څیړنې له امله اؤ د هغې پیسو راپور ورکوي چې د نماینده کلف سټارنس لخوا ترسره کیږي	د | ک و م ی ن | پ ا ل ی س ي | پ ا ل ن | ش و ې | و ا ل د ی ن | ن ا م ن ا س ب ه | ک ړ ې | ځ ک ه | چ ې | د | پ ا ل ن | ش و ي | و ا ل د ی ن | څ ر ن ګ و ا ل ي | م ص ر ف | ک و ل و | پ ه | ا ړ ه | د | پ ا ت ې | څ ی ړ ن ې | ل ه | ا م ل ه | ا ؤ | د | ه غ ې | پ ی س و | ر ا پ و ر | و ر ک و ي | چ ې | د | ن م ا ی ن د ه | ک ل ف | س ټ ا ر ن س | ل خ و ا | ت ر س ر ه | ک ی ږ ي |	226560	FEMALE
410	3262616695147231878.wav	زیاتره شیان چې د Tutankhamun سره خښ کړای شوي ښه ساتل شوي، د هغه تاریخي شیانو په ګډون چې د قیمتي فلزاتو او نادره تیږو څخه جوړ شوي.	زیاتره شیان چې د tutankhamun سره خښ کړای شوي ښه ساتل شوي د هغه تاریخي شیانو په ګډون چې د قیمتي فلزاتو او نادره تیږو څخه جوړ شوي	ز ی ا ت ر ه | ش ی ا ن | چ ې | د | t u t a n k h a m u n | س ر ه | خ ښ | ک ړ ا ی | ش و ي | ښ ه | س ا ت ل | ش و ي | د | ه غ ه | ت ا ر ی خ ي | ش ی ا ن و | پ ه | ګ ډ و ن | چ ې | د | ق ی م ت ي | ف ل ز ا ت و | ا و | ن ا د ر ه | ت ی ږ و | څ خ ه | ج و ړ | ش و ي |	151680	MALE
1176	16607603667769144112.wav	فرعي یا کوچني کلتورونه همفکره افراد سره یو ځای کوي څوک چې د ټولنیزو معیارونو له امله له پامه غورځول شوي وي او دوی ته اجازه ورکوي چې د پیژندنې احساس رامنځته کړي.	فرعي یا کوچني کلتورونه همفکره افراد سره یو ځای کوي څوک چې د ټولنیزو معیارونو له امله له پامه غورځول شوي وي او دوی ته اجازه ورکوي چې د پیژندنې احساس رامنځته کړي	ف ر ع ي | ی ا | ک و چ ن ي | ک ل ت و ر و ن ه | ه م ف ک ر ه | ا ف ر ا د | س ر ه | ی و | ځ ا ی | ک و ي | څ و ک | چ ې | د | ټ و ل ن ی ز و | م ع ی ا ر و ن و | ل ه | ا م ل ه | ل ه | پ ا م ه | غ و ر ځ و ل | ش و ي | و ي | ا و | د و ی | ت ه | ا ج ا ز ه | و ر ک و ي | چ ې | د | پ ی ژ ن د ن ې | ا ح س ا س | ر ا م ن ځ ت ه | ک ړ ي |	307200	MALE
804	11981835819661960886.wav	غیر قانوي سپریټ مختلف ډوله خطرناک ګډ شوي شيان لري د میتانول په شمول کوم چې د ړنديدو او مرګ سبب کېدلای شي تر که په لږه اندازه هم وکارول شي	غیر قانوي سپریټ مختلف ډوله خطرناک ګډ شوي شيان لري د میتانول په شمول کوم چې د ړنديدو او مرګ سبب کېدلای شي تر که په لږه اندازه هم وکارول شي	غ ی ر | ق ا ن و ي | س پ ر ی ټ | م خ ت ل ف | ډ و ل ه | خ ط ر ن ا ک | ګ ډ | ش و ي | ش ي ا ن | ل ر ي | د | م ی ت ا ن و ل | پ ه | ش م و ل | ک و م | چ ې | د | ړ ن د ي د و | ا و | م ر ګ | س ب ب | ک ې د ل ا ی | ش ي | ت ر | ک ه | پ ه | ل ږ ه | ا ن د ا ز ه | ه م | و ک ا ر و ل | ش ي |	200640	MALE
1216	9483961920803976066.wav	د شمالي سمندری ساحل (په شمالي هاربر ولسوالۍ کې) د آرام سمندر په غاړه دي او د شمال له لونګ بي څخه په سویل کې ډیونپورټ پورې غځیدلی دی۔	د شمالي سمندری ساحل په شمالي هاربر ولسوالۍ کې د آرام سمندر په غاړه دي او د شمال له لونګ بي څخه په سویل کې ډیونپورټ پورې غځیدلی دی۔	د | ش م ا ل ي | س م ن د ر ی | س ا ح ل | پ ه | ش م ا ل ي | ه ا ر ب ر | و ل س و ا ل ۍ | ک ې | د | آ ر ا م | س م ن د ر | پ ه | غ ا ړ ه | د ي | ا و | د | ش م ا ل | ل ه | ل و ن ګ | ب ي | څ خ ه | پ ه | س و ی ل | ک ې | ډ ی و ن پ و ر ټ | پ و ر ې | غ ځ ی د ل ی | د ی ۔ |	266880	MALE
367	13098585824944149023.wav	د دورانی سیستم تر ټو لو لويه عضوه زړه دي چې وينه پمپ کوي	د دورانی سیستم تر ټو لو لويه عضوه زړه دي چې وينه پمپ کوي	د | د و ر ا ن ی | س ی س ت م | ت ر | ټ و | ل و | ل و ي ه | ع ض و ه | ز ړ ه | د ي | چ ې | و ي ن ه | پ م پ | ک و ي |	97920	MALE
471	7452741610588143428.wav	د ځواک انډول یو سیستم چې د هغې د لارې اروپایې ملتونه په لټه کې و چې د ټولو اروپایې هیوادونو خپلواکې sovereignity برقراره وساتي	د ځواک انډول یو سیستم چې د هغې د لارې اروپایې ملتونه په لټه کې و چې د ټولو اروپایې هیوادونو خپلواکې sovereignity برقراره وساتي	د | ځ و ا ک | ا ن ډ و ل | ی و | س ی س ت م | چ ې | د | ه غ ې | د | ل ا ر ې | ا ر و پ ا ی ې | م ل ت و ن ه | پ ه | ل ټ ه | ک ې | و | چ ې | د | ټ و ل و | ا ر و پ ا ی ې | ه ی و ا د و ن و | خ پ ل و ا ک ې | s o v e r e i g n i t y | ب ر ق ر ا ر ه | و س ا ت ي |	185280	MALE
120	1715186177501486320.wav	دا لوبه د Fallujah د دوهمې جکړې پر بنسټ جوړ شوی، چې د امریکایانو او عراقي ځواکونو تر منځ یوه بوږنوونکې جګړه وه.	دا لوبه د fallujah د دوهمې جکړې پر بنسټ جوړ شوی چې د امریکایانو او عراقي ځواکونو تر منځ یوه بوږنوونکې جګړه وه	د ا | ل و ب ه | د | f a l l u j a h | د | د و ه م ې | ج ک ړ ې | پ ر | ب ن س ټ | ج و ړ | ش و ی | چ ې | د | ا م ر ی ک ا ی ا ن و | ا و | ع ر ا ق ي | ځ و ا ک و ن و | ت ر | م ن ځ | ی و ه | ب و ږ ن و و ن ک ې | ج ګ ړ ه | و ه |	182400	MALE
703	14165111443431856369.wav	ستاسې پاسپورت باید ستاسې د سفر د نيټی څخه اخواته شپږ میاشتی وخت ولري، یو طرفه دوه طرفه ټکټ ولري چې ستاسې د پاتی کېدو د وخت اوږدوالی تر معلوم شي	ستاسې پاسپورت باید ستاسې د سفر د نيټی څخه اخواته شپږ میاشتی وخت ولري یو طرفه دوه طرفه ټکټ ولري چې ستاسې د پاتی کېدو د وخت اوږدوالی تر معلوم شي	س ت ا س ې | پ ا س پ و ر ت | ب ا ی د | س ت ا س ې | د | س ف ر | د | ن ي ټ ی | څ خ ه | ا خ و ا ت ه | ش پ ږ | م ی ا ش ت ی | و خ ت | و ل ر ي | ی و | ط ر ف ه | د و ه | ط ر ف ه | ټ ک ټ | و ل ر ي | چ ې | س ت ا س ې | د | پ ا ت ی | ک ې د و | د | و خ ت | ا و ږ د و ا ل ی | ت ر | م ع ل و م | ش ي |	197760	FEMALE
186	12841498146722948376.wav	هغه د بولونیا په وړاندې د یکشنبي لپاره پلان شوي لوبي دمخه د لوبډلیهوټل کې پاتې کیدو۔	هغه د بولونیا په وړاندې د یکشنبي لپاره پلان شوي لوبي دمخه د لوبډلیهوټل کې پاتې کیدو	ه غ ه | د | ب و ل و ن ی ا | پ ه | و ړ ا ن د ې | د | ی ک ش ن ب ي | ل پ ا ر ه | پ ل ا ن | ش و ي | ل و ب ي | د م خ ه | د | ل و ب ډ ل ی ه و ټ ل | ک ې | پ ا ت ې | ک ی د و |	172800	MALE
166	7713786358318777036.wav	د ممبۍ حمله کوونکې د کښتی د لارې د 2008 د نومبر په 26 نیټه رارسیدلی و . چې له ځان سره ګرنیټونه او اتومات وسلی راوړی وي . چې په متعددو هدفونو یې د چتر پتی شيوا چې chatar pati shivaji د اور ګاډی په تمځاې او مشهور تاج محل هوټل په ګډون باندي یې حملی وکړي	د ممبۍ حمله کوونکې د کښتی د لارې د 2008 د نومبر په 26 نیټه رارسیدلی و چې له ځان سره ګرنیټونه او اتومات وسلی راوړی وي چې په متعددو هدفونو یې د چتر پتی شيوا چې chatar pati shivaji د اور ګاډی په تمځاې او مشهور تاج محل هوټل په ګډون باندي یې حملی وکړي	د | م م ب ۍ | ح م ل ه | ک و و ن ک ې | د | ک ښ ت ی | د | ل ا ر ې | د | 2 0 0 8 | د | ن و م ب ر | پ ه | 2 6 | ن ی ټ ه | ر ا ر س ی د ل ی | و | چ ې | ل ه | ځ ا ن | س ر ه | ګ ر ن ی ټ و ن ه | ا و | ا ت و م ا ت | و س ل ی | ر ا و ړ ی | و ي | چ ې | پ ه | م ت ع د د و | ه د ف و ن و | ی ې | د | چ ت ر | پ ت ی | ش ي و ا | چ ې | c h a t a r | p a t i | s h i v a j i | د | ا و ر | ګ ا ډ ی | پ ه | ت م ځ ا ې | ا و | م ش ه و ر | ت ا ج | م ح ل | ه و ټ ل | پ ه | ګ ډ و ن | ب ا ن د ي | ی ې | ح م ل ی | و ک ړ ي |	294720	MALE
9	207869269605179880.wav	لږ څه د پاسه په 11:00 بجو مظاهرېنو په وایټ هال white hall کې نارت باوڼډ کېرج North bound carriage د ترافیکو پر مخ وتړه	لږ څه د پاسه په 11:00 بجو مظاهرېنو په وایټ هال white hall کې نارت باوڼډ کېرج north bound carriage د ترافیکو پر مخ وتړه	ل ږ | څ ه | د | پ ا س ه | پ ه | 1 1 : 0 0 | ب ج و | م ظ ا ه ر ې ن و | پ ه | و ا ی ټ | ه ا ل | w h i t e | h a l l | ک ې | ن ا ر ت | ب ا و ڼ ډ | ک ې ر ج | n o r t h | b o u n d | c a r r i a g e | د | ت ر ا ف ی ک و | پ ر | م خ | و ت ړ ه |	209280	MALE
360	16119775159537565224.wav	ساینسپوهان دا پروسه د سټیمیولیټډ امیژن اف ریډیشن په نامه یادوي ، دا ځکه چې اتومونه د روښانه رڼا له خوا تحریک کېږی د فوټون photonد رڼا د وتلو سبب کېږی چې رڼا د ریډیشن یو نوعه ده	ساینسپوهان دا پروسه د سټیمیولیټډ امیژن اف ریډیشن په نامه یادوي ، دا ځکه چې اتومونه د روښانه رڼا له خوا تحریک کېږی د فوټون photonد رڼا د وتلو سبب کېږی چې رڼا د ریډیشن یو نوعه ده	س ا ی ن س پ و ه ا ن | د ا | پ ر و س ه | د | س ټ ی م ی و ل ی ټ ډ | ا م ی ژ ن | ا ف | ر ی ډ ی ش ن | پ ه | ن ا م ه | ی ا د و ي | ، | د ا | ځ ک ه | چ ې | ا ت و م و ن ه | د | ر و ښ ا ن ه | ر ڼ ا | ل ه | خ و ا | ت ح ر ی ک | ک ې ږ ی | د | ف و ټ و ن | p h o t o n د | ر ڼ ا | د | و ت ل و | س ب ب | ک ې ږ ی | چ ې | ر ڼ ا | د | ر ی ډ ی ش ن | ی و | ن و ع ه | د ه |	291840	MALE
1096	12274435668018932346.wav	د بالتیک اکثره متفاوت سمندري جهازونه په سېنټ پیټرسبرګ کې اوږد تر اقامت ورکوي.	د بالتیک اکثره متفاوت سمندري جهازونه په سېنټ پیټرسبرګ کې اوږد تر اقامت ورکوي	د | ب ا ل ت ی ک | ا ک ث ر ه | م ت ف ا و ت | س م ن د ر ي | ج ه ا ز و ن ه | پ ه | س ې ن ټ | پ ی ټ ر س ب ر ګ | ک ې | ا و ږ د | ت ر | ا ق ا م ت | و ر ک و ي |	167040	MALE
840	4333362142956450014.wav	ورکړل شوی د پيويبلوس خلک څومره لرې دي، تاسو نشئ کولی البته او سانټا فی ته سفر کولو پرته د شپې ژوند یو مهم مقدار ومومئ.۔	ورکړل شوی د پيويبلوس خلک څومره لرې دي تاسو نشئ کولی البته او سانټا فی ته سفر کولو پرته د شپې ژوند یو مهم مقدار ومومئ	و ر ک ړ ل | ش و ی | د | پ ي و ي ب ل و س | خ ل ک | څ و م ر ه | ل ر ې | د ي | ت ا س و | ن ش ئ | ک و ل ی | ا ل ب ت ه | ا و | س ا ن ټ ا | ف ی | ت ه | س ف ر | ک و ل و | پ ر ت ه | د | ش پ ې | ژ و ن د | ی و | م ه م | م ق د ا ر | و م و م ئ |	147840	MALE
