362	3727732812750922633.wav	Фотоните са по-малки дори от материята, която изгражда атомите!	фотоните са по-малки дори от материята която изгражда атомите!	ф о т о н и т е | с а | п о - м а л к и | д о р и | о т | м а т е р и я т а | к о я т о | и з г р а ж д а | а т о м и т е ! |	114240	MALE
1352	332997242424032184.wav	За някои хора разбирането на начина, по който работят въздухоплавателните средства, както и случващото се по време на полет, може да помогне за преодоляване на страх, който се основава на неизвестното или на липсата на контрол.	за някои хора разбирането на начина по който работят въздухоплавателните средства както и случващото се по време на полет може да помогне за преодоляване на страх който се основава на неизвестното или на липсата на контрол	з а | н я к о и | х о р а | р а з б и р а н е т о | н а | н а ч и н а | п о | к о й т о | р а б о т я т | в ъ з д у х о п л а в а т е л н и т е | с р е д с т в а | к а к т о | и | с л у ч в а щ о т о | с е | п о | в р е м е | н а | п о л е т | м о ж е | д а | п о м о г н е | з а | п р е о д о л я в а н е | н а | с т р а х | к о й т о | с е | о с н о в а в а | н а | н е и з в е с т н о т о | и л и | н а | л и п с а т а | н а | к о н т р о л |	287040	FEMALE
657	4877192635335036074.wav	Ако отидете в Гренландия през студените сезони (имайте предвид, че колкото сте по - на север, толкова е по - студено), жизнено важно е да носите достатъчно топли дрехи.	ако отидете в гренландия през студените сезони имайте предвид че колкото сте по - на север толкова е по - студено жизнено важно е да носите достатъчно топли дрехи	а к о | о т и д е т е | в | г р е н л а н д и я | п р е з | с т у д е н и т е | с е з о н и | и м а й т е | п р е д в и д | ч е | к о л к о т о | с т е | п о | - | н а | с е в е р | т о л к о в а | е | п о | - | с т у д е н о | ж и з н е н о | в а ж н о | е | д а | н о с и т е | д о с т а т ъ ч н о | т о п л и | д р е х и |	163200	MALE
307	14177135803491066290.wav	Обявено е, че причината за смъртта е рак на интрахепаталните жлъчни пътища.	обявено е че причината за смъртта е рак на интрахепаталните жлъчни пътища	о б я в е н о | е | ч е | п р и ч и н а т а | з а | с м ъ р т т а | е | р а к | н а | и н т р а х е п а т а л н и т е | ж л ъ ч н и | п ъ т и щ а |	161280	MALE
898	11974994852901360698.wav	Някои боти имат шипове и има допълнителна екипировка с шипове за хлъзгави условия, която е подходяща за повечето обувки и боти, за токове или цялото ходило с тока.	някои боти имат шипове и има допълнителна екипировка с шипове за хлъзгави условия която е подходяща за повечето обувки и боти за токове или цялото ходило с тока	н я к о и | б о т и | и м а т | ш и п о в е | и | и м а | д о п ъ л н и т е л н а | е к и п и р о в к а | с | ш и п о в е | з а | х л ъ з г а в и | у с л о в и я | к о я т о | е | п о д х о д я щ а | з а | п о в е ч е т о | о б у в к и | и | б о т и | з а | т о к о в е | и л и | ц я л о т о | х о д и л о | с | т о к а |	177600	MALE
1147	5132174696198273285.wav	Идеята за каране на ски е много стара – пещерните рисунки, изобразяващи скиори, датират от 5000 г. пр.н.е.!	идеята за каране на ски е много стара – пещерните рисунки изобразяващи скиори датират от 5000 г. пр.н.е.!	и д е я т а | з а | к а р а н е | н а | с к и | е | м н о г о | с т а р а | – | п е щ е р н и т е | р и с у н к и | и з о б р а з я в а щ и | с к и о р и | д а т и р а т | о т | 5 0 0 0 | г . | п р . н . е . ! |	179520	FEMALE
1331	1083446112443265634.wav	Докато ученето, базирано на проекти, трябва да направи ученето по-лесно и по-интересно, скаффолдинга отива една стъпка по-далеч.	докато ученето базирано на проекти трябва да направи ученето по-лесно и по-интересно скаффолдинга отива една стъпка по-далеч	д о к а т о | у ч е н е т о | б а з и р а н о | н а | п р о е к т и | т р я б в а | д а | н а п р а в и | у ч е н е т о | п о - л е с н о | и | п о - и н т е р е с н о | с к а ф ф о л д и н г а | о т и в а | е д н а | с т ъ п к а | п о - д а л е ч |	215040	MALE
1157	17243074419921010670.wav	Монтевидео е в субтропичната област; през летните месеци са нормални температури над +30 °C.	монтевидео е в субтропичната област; през летните месеци са нормални температури над +30 °c	м о н т е в и д е о | е | в | с у б т р о п и ч н а т а | о б л а с т ; | п р е з | л е т н и т е | м е с е ц и | с а | н о р м а л н и | т е м п е р а т у р и | н а д | + 3 0 | ° c |	183360	MALE
133	12666789262036781143.wav	Говорителят на полицейското управление в Лос Анджелис, Кристофър Гарсия, заяви, че заподозреният е разследван най-вече за влизане с взлом, а не за вандализъм.	говорителят на полицейското управление в лос анджелис кристофър гарсия заяви че заподозреният е разследван най-вече за влизане с взлом а не за вандализъм	г о в о р и т е л я т | н а | п о л и ц е й с к о т о | у п р а в л е н и е | в | л о с | а н д ж е л и с | к р и с т о ф ъ р | г а р с и я | з а я в и | ч е | з а п о д о з р е н и я т | е | р а з с л е д в а н | н а й - в е ч е | з а | в л и з а н е | с | в з л о м | а | н е | з а | в а н д а л и з ъ м |	260160	FEMALE
415	14576631198780790738.wav	Софокъл и Аристофан все още са популярни драматурзи и техните пиеси се считат за едни от най - великите творби на световната литература.	софокъл и аристофан все още са популярни драматурзи и техните пиеси се считат за едни от най - великите творби на световната литература	с о ф о к ъ л | и | а р и с т о ф а н | в с е | о щ е | с а | п о п у л я р н и | д р а м а т у р з и | и | т е х н и т е | п и е с и | с е | с ч и т а т | з а | е д н и | о т | н а й | - | в е л и к и т е | т в о р б и | н а | с в е т о в н а т а | л и т е р а т у р а |	247680	FEMALE
871	8658959322549959172.wav	Донесете походно легло или хамак, за да ви предпазят от змии, скорпиони и други подобни, ако възнамерявате да лагерувате.	донесете походно легло или хамак за да ви предпазят от змии скорпиони и други подобни ако възнамерявате да лагерувате	д о н е с е т е | п о х о д н о | л е г л о | и л и | х а м а к | з а | д а | в и | п р е д п а з я т | о т | з м и и | с к о р п и о н и | и | д р у г и | п о д о б н и | а к о | в ъ з н а м е р я в а т е | д а | л а г е р у в а т е |	179520	MALE
276	1651005799953444022.wav	Политиката на Комен отхвърли „Планираното родителство“, поради текущото разследване за това как „Планирано родителство“ харчи и отчита парите си, водено от представителя Клиф Стърнс.	политиката на комен отхвърли планираното родителство  поради текущото разследване за това как планирано родителство  харчи и отчита парите си водено от представителя клиф стърнс	п о л и т и к а т а | н а | к о м е н | о т х в ъ р л и | п л а н и р а н о т о | р о д и т е л с т в о | п о р а д и | т е к у щ о т о | р а з с л е д в а н е | з а | т о в а | к а к | п л а н и р а н о | р о д и т е л с т в о | х а р ч и | и | о т ч и т а | п а р и т е | с и | в о д е н о | о т | п р е д с т а в и т е л я | к л и ф | с т ъ р н с |	218880	FEMALE
1477	7161284610834634661.wav	Очевидно е, че светът се е променил значително поради научния и технологичния напредък на човечеството и проблемите са станали по-големи поради свръхнаселеността и екстравагантния начин на живот на хората.	очевидно е че светът се е променил значително поради научния и технологичния напредък на човечеството и проблемите са станали по-големи поради свръхнаселеността и екстравагантния начин на живот на хората	о ч е в и д н о | е | ч е | с в е т ъ т | с е | е | п р о м е н и л | з н а ч и т е л н о | п о р а д и | н а у ч н и я | и | т е х н о л о г и ч н и я | н а п р е д ъ к | н а | ч о в е ч е с т в о т о | и | п р о б л е м и т е | с а | с т а н а л и | п о - г о л е м и | п о р а д и | с в р ъ х н а с е л е н о с т т а | и | е к с т р а в а г а н т н и я | н а ч и н | н а | ж и в о т | н а | х о р а т а |	342720	FEMALE
152	6508430052808002338.wav	При национализацията през 2010 г., настоящата високобюджетна банка Northern Rock plc е разделена от „лошата банка“, Northern Rock (Управление на активи).	при национализацията през 2010 г. настоящата високобюджетна банка northern rock plc е разделена от лошата банка  northern rock управление на активи	п р и | н а ц и о н а л и з а ц и я т а | п р е з | 2 0 1 0 | г . | н а с т о я щ а т а | в и с о к о б ю д ж е т н а | б а н к а | n o r t h e r n | r o c k | p l c | е | р а з д е л е н а | о т | л о ш а т а | б а н к а | n o r t h e r n | r o c k | у п р а в л е н и е | н а | а к т и в и |	247680	FEMALE
143	7747829536935290500.wav	Решението на НБА бе взето, след като играч от Юта Джаз е дал положителен тест за вируса COVID-19.	решението на нба бе взето след като играч от юта джаз е дал положителен тест за вируса covid-19	р е ш е н и е т о | н а | н б а | б е | в з е т о | с л е д | к а т о | и г р а ч | о т | ю т а | д ж а з | е | д а л | п о л о ж и т е л е н | т е с т | з а | в и р у с а | c o v i d - 1 9 |	162240	MALE
1295	207187625256611926.wav	Проучванията показват, че вероятността да имат МС е два пъти по-голяма при жените, отколкото при мъжете.	проучванията показват че вероятността да имат мс е два пъти по-голяма при жените отколкото при мъжете	п р о у ч в а н и я т а | п о к а з в а т | ч е | в е р о я т н о с т т а | д а | и м а т | м с | е | д в а | п ъ т и | п о - г о л я м а | п р и | ж е н и т е | о т к о л к о т о | п р и | м ъ ж е т е |	162240	MALE
637	17777518537963394829.wav	Реймънд Дамадиан, лекар и изследовател, открива през 1970 година основата за използването на магнитно-резонансните изображения като средство за медицинска диагностика.	реймънд дамадиан лекар и изследовател открива през 1970 година основата за използването на магнитно-резонансните изображения като средство за медицинска диагностика	р е й м ъ н д | д а м а д и а н | л е к а р | и | и з с л е д о в а т е л | о т к р и в а | п р е з | 1 9 7 0 | г о д и н а | о с н о в а т а | з а | и з п о л з в а н е т о | н а | м а г н и т н о - р е з о н а н с н и т е | и з о б р а ж е н и я | к а т о | с р е д с т в о | з а | м е д и ц и н с к а | д и а г н о с т и к а |	180480	MALE
175	15158130260638457369.wav	Предполага се, че Алън, един от най-богатите хора в света, е инвестирал голяма част от богатството си в морски изследвания и търсенето на Мусаши е породено от отдавнашния му интерес към войната.	предполага се че алън един от най-богатите хора в света е инвестирал голяма част от богатството си в морски изследвания и търсенето на мусаши е породено от отдавнашния му интерес към войната	п р е д п о л а г а | с е | ч е | а л ъ н | е д и н | о т | н а й - б о г а т и т е | х о р а | в | с в е т а | е | и н в е с т и р а л | г о л я м а | ч а с т | о т | б о г а т с т в о т о | с и | в | м о р с к и | и з с л е д в а н и я | и | т ъ р с е н е т о | н а | м у с а ш и | е | п о р о д е н о | о т | о т д а в н а ш н и я | м у | и н т е р е с | к ъ м | в о й н а т а |	245760	MALE
103	15490866027910606793.wav	Другата вторична ограничителна зона под резервоарите, побиращи 104 500 барела, все още не е запълнена до крайния ѝ капацитет.	другата вторична ограничителна зона под резервоарите побиращи 104 500 барела все още не е запълнена до крайния ѝ капацитет	д р у г а т а | в т о р и ч н а | о г р а н и ч и т е л н а | з о н а | п о д | р е з е р в о а р и т е | п о б и р а щ и | 1 0 4 | 5 0 0 | б а р е л а | в с е | о щ е | н е | е | з а п ъ л н е н а | д о | к р а й н и я | ѝ | к а п а ц и т е т |	222720	FEMALE
568	1888328196366487148.wav	Има много различни конструкции на очите с различна сложност според изискванията на организма.	има много различни конструкции на очите с различна сложност според изискванията на организма	и м а | м н о г о | р а з л и ч н и | к о н с т р у к ц и и | н а | о ч и т е | с | р а з л и ч н а | с л о ж н о с т | с п о р е д | и з и с к в а н и я т а | н а | о р г а н и з м а |	144960	MALE
497	18153769345890212557.wav	Хирурзите са познавали различни успокоителни, включително морфин от екстракти от макови семена и скополамин от билкови семена.	хирурзите са познавали различни успокоителни включително морфин от екстракти от макови семена и скополамин от билкови семена	х и р у р з и т е | с а | п о з н а в а л и | р а з л и ч н и | у с п о к о и т е л н и | в к л ю ч и т е л н о | м о р ф и н | о т | е к с т р а к т и | о т | м а к о в и | с е м е н а | и | с к о п о л а м и н | о т | б и л к о в и | с е м е н а |	180480	FEMALE
1251	3800294354843417195.wav	Всеки може да постигне просветление. Собственото ни напрежение и негативизъм са единственото нещо, което стои на пътя ни за постигането на тази цел.	всеки може да постигне просветление. собственото ни напрежение и негативизъм са единственото нещо което стои на пътя ни за постигането на тази цел	в с е к и | м о ж е | д а | п о с т и г н е | п р о с в е т л е н и е . | с о б с т в е н о т о | н и | н а п р е ж е н и е | и | н е г а т и в и з ъ м | с а | е д и н с т в е н о т о | н е щ о | к о е т о | с т о и | н а | п ъ т я | н и | з а | п о с т и г а н е т о | н а | т а з и | ц е л |	201600	MALE
830	1975376692317423945.wav	Обикновено първата спирка при слизане от самолет, кораб или друго превозно средство е имиграционният контролно - пропускателен пункт.	обикновено първата спирка при слизане от самолет кораб или друго превозно средство е имиграционният контролно - пропускателен пункт	о б и к н о в е н о | п ъ р в а т а | с п и р к а | п р и | с л и з а н е | о т | с а м о л е т | к о р а б | и л и | д р у г о | п р е в о з н о | с р е д с т в о | е | и м и г р а ц и о н н и я т | к о н т р о л н о | - | п р о п у с к а т е л е н | п у н к т |	140160	MALE
139	6954660619298954147.wav	Хората могат да бъдат заразени от вдишване на заразена вода, вдигната във въздуха от вятъра и вълните.	хората могат да бъдат заразени от вдишване на заразена вода вдигната във въздуха от вятъра и вълните	х о р а т а | м о г а т | д а | б ъ д а т | з а р а з е н и | о т | в д и ш в а н е | н а | з а р а з е н а | в о д а | в д и г н а т а | в ъ в | в ъ з д у х а | о т | в я т ъ р а | и | в ъ л н и т е |	120000	FEMALE
729	8530605077837197463.wav	Някои деца за няколко стотинки ще ви разкажат историята.	някои деца за няколко стотинки ще ви разкажат историята	н я к о и | д е ц а | з а | н я к о л к о | с т о т и н к и | щ е | в и | р а з к а ж а т | и с т о р и я т а |	111360	MALE
1467	14531625186545378831.wav	За да приеме работа в компанията Едисон в Ню Йорк, Тесла се премества в Съединените американски щати през 1884 година.	за да приеме работа в компанията едисон в ню йорк тесла се премества в съединените американски щати през 1884 година	з а | д а | п р и е м е | р а б о т а | в | к о м п а н и я т а | е д и с о н | в | н ю | й о р к | т е с л а | с е | п р е м е с т в а | в | с ъ е д и н е н и т е | а м е р и к а н с к и | щ а т и | п р е з | 1 8 8 4 | г о д и н а |	209280	MALE
1128	6084100008028489892.wav	Властите предполагат, че това е знак, че контейнерите за съхранение на ураново гориво на обекта може да са се спукали и да има изтичане.	властите предполагат че това е знак че контейнерите за съхранение на ураново гориво на обекта може да са се спукали и да има изтичане	в л а с т и т е | п р е д п о л а г а т | ч е | т о в а | е | з н а к | ч е | к о н т е й н е р и т е | з а | с ъ х р а н е н и е | н а | у р а н о в о | г о р и в о | н а | о б е к т а | м о ж е | д а | с а | с е | с п у к а л и | и | д а | и м а | и з т и ч а н е |	138240	FEMALE
1186	9623038587209600850.wav	Персийският език е лесен и има сравнително правилна граматика.	персийският език е лесен и има сравнително правилна граматика	п е р с и й с к и я т | е з и к | е | л е с е н | и | и м а | с р а в н и т е л н о | п р а в и л н а | г р а м а т и к а |	70080	FEMALE
330	4160631377204959728.wav	Той отбеляза 403 гола в 468 изяви през времето, прекарано с отбора.	той отбеляза 403 гола в 468 изяви през времето прекарано с отбора	т о й | о т б е л я з а | 4 0 3 | г о л а | в | 4 6 8 | и з я в и | п р е з | в р е м е т о | п р е к а р а н о | с | о т б о р а |	119040	FEMALE
200	1607977961322361776.wav	Очаквам да се върна към задълженията си в понеделник“, каза Ариас в изявление.	очаквам да се върна към задълженията си в понеделник  каза ариас в изявление	о ч а к в а м | д а | с е | в ъ р н а | к ъ м | з а д ъ л ж е н и я т а | с и | в | п о н е д е л н и к | к а з а | а р и а с | в | и з я в л е н и е |	121920	MALE
1495	13952584199308106925.wav	Други включват остров Ливингстън и Измамата, където има зрелищно естествено пристанище поради наводнената калдера на все още активен вулкан.	други включват остров ливингстън и измамата където има зрелищно естествено пристанище поради наводнената калдера на все още активен вулкан	д р у г и | в к л ю ч в а т | о с т р о в | л и в и н г с т ъ н | и | и з м а м а т а | к ъ д е т о | и м а | з р е л и щ н о | е с т е с т в е н о | п р и с т а н и щ е | п о р а д и | н а в о д н е н а т а | к а л д е р а | н а | в с е | о щ е | а к т и в е н | в у л к а н |	243840	FEMALE
323	10097117429879215438.wav	До двадесет години БВП на Китай може да бъде по - голям от този на САЩ.	до двадесет години бвп на китай може да бъде по - голям от този на сащ	д о | д в а д е с е т | г о д и н и | б в п | н а | к и т а й | м о ж е | д а | б ъ д е | п о | - | г о л я м | о т | т о з и | н а | с а щ |	109440	MALE
1158	15323347700077081276.wav	Американската федерация по гимнастика подкрепя независимо разследване, което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери, описана толкова смело от жертвите на Лари Насар, би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени.	американската федерация по гимнастика подкрепя независимо разследване което би могло да хвърли светлина върху това как една такава злоупотреба с тези размери описана толкова смело от жертвите на лари насар би могла да остане незабелязана толкова дълго и приема всички необходими и подходящи промени	а м е р и к а н с к а т а | ф е д е р а ц и я | п о | г и м н а с т и к а | п о д к р е п я | н е з а в и с и м о | р а з с л е д в а н е | к о е т о | б и | м о г л о | д а | х в ъ р л и | с в е т л и н а | в ъ р х у | т о в а | к а к | е д н а | т а к а в а | з л о у п о т р е б а | с | т е з и | р а з м е р и | о п и с а н а | т о л к о в а | с м е л о | о т | ж е р т в и т е | н а | л а р и | н а с а р | б и | м о г л а | д а | о с т а н е | н е з а б е л я з а н а | т о л к о в а | д ъ л г о | и | п р и е м а | в с и ч к и | н е о б х о д и м и | и | п о д х о д я щ и | п р о м е н и |	378240	MALE
1091	959772769790283610.wav	По време на посещението си в манастирите жените са задължени да носят поли под коленете, като раменете им също трябва да са покрити.	по време на посещението си в манастирите жените са задължени да носят поли под коленете като раменете им също трябва да са покрити	п о | в р е м е | н а | п о с е щ е н и е т о | с и | в | м а н а с т и р и т е | ж е н и т е | с а | з а д ъ л ж е н и | д а | н о с я т | п о л и | п о д | к о л е н е т е | к а т о | р а м е н е т е | и м | с ъ щ о | т р я б в а | д а | с а | п о к р и т и |	169920	MALE
726	15618016504169487808.wav	Сега функционира като централна Плаза, и винаги има много неща, случващи се ден и нощ.	сега функционира като централна плаза и винаги има много неща случващи се ден и нощ	с е г а | ф у н к ц и о н и р а | к а т о | ц е н т р а л н а | п л а з а | и | в и н а г и | и м а | м н о г о | н е щ а | с л у ч в а щ и | с е | д е н | и | н о щ |	126720	MALE
194	3775205936320523197.wav	Шумахер, който се пенсионира през 2006 г., след като седем пъти спечели шампионата на Формула 1, се очакваше да замени ранения Фелипе Маса.	шумахер който се пенсионира през 2006 г. след като седем пъти спечели шампионата на формула 1 се очакваше да замени ранения фелипе маса	ш у м а х е р | к о й т о | с е | п е н с и о н и р а | п р е з | 2 0 0 6 | г . | с л е д | к а т о | с е д е м | п ъ т и | с п е ч е л и | ш а м п и о н а т а | н а | ф о р м у л а | 1 | с е | о ч а к в а ш е | д а | з а м е н и | р а н е н и я | ф е л и п е | м а с а |	221760	MALE
1376	512692047428711877.wav	С участието на Райън Гослинг и Ема Стоун филмът получи номинации във всички главни категории.	с участието на райън гослинг и ема стоун филмът получи номинации във всички главни категории	с | у ч а с т и е т о | н а | р а й ъ н | г о с л и н г | и | е м а | с т о у н | ф и л м ъ т | п о л у ч и | н о м и н а ц и и | в ъ в | в с и ч к и | г л а в н и | к а т е г о р и и |	119040	FEMALE
1301	14666171710809682944.wav	Изследванията му показват, че ако се приложи хормон, това ще ускори феталното развитие на белия дроб на бебето.	изследванията му показват че ако се приложи хормон това ще ускори феталното развитие на белия дроб на бебето	и з с л е д в а н и я т а | м у | п о к а з в а т | ч е | а к о | с е | п р и л о ж и | х о р м о н | т о в а | щ е | у с к о р и | ф е т а л н о т о | р а з в и т и е | н а | б е л и я | д р о б | н а | б е б е т о |	155520	MALE
1133	2750512469212108814.wav	Ричард Вирман, говорителят на „Лекари без граници“, каза: „Ангола се е запътила към най - тежката си епидемия досега и ситуацията там остава много лоша“.	ричард вирман говорителят на лекари без граници  каза: ангола се е запътила към най - тежката си епидемия досега и ситуацията там остава много лоша	р и ч а р д | в и р м а н | г о в о р и т е л я т | н а | л е к а р и | б е з | г р а н и ц и | к а з а : | а н г о л а | с е | е | з а п ъ т и л а | к ъ м | н а й | - | т е ж к а т а | с и | е п и д е м и я | д о с е г а | и | с и т у а ц и я т а | т а м | о с т а в а | м н о г о | л о ш а |	182400	FEMALE
284	5482496476783413770.wav	В Лондон около 200 души протестираха пред офисите на някои крупни притежатели на авторски права.	в лондон около 200 души протестираха пред офисите на някои крупни притежатели на авторски права	в | л о н д о н | о к о л о | 2 0 0 | д у ш и | п р о т е с т и р а х а | п р е д | о ф и с и т е | н а | н я к о и | к р у п н и | п р и т е ж а т е л и | н а | а в т о р с к и | п р а в а |	124800	MALE
891	370749284722511273.wav	Случайни специализирани въздушни обиколки тръгват по суша, за алпинизъм или за отиване до полюса, на който има голяма база.	случайни специализирани въздушни обиколки тръгват по суша за алпинизъм или за отиване до полюса на който има голяма база	с л у ч а й н и | с п е ц и а л и з и р а н и | в ъ з д у ш н и | о б и к о л к и | т р ъ г в а т | п о | с у ш а | з а | а л п и н и з ъ м | и л и | з а | о т и в а н е | д о | п о л ю с а | н а | к о й т о | и м а | г о л я м а | б а з а |	223680	FEMALE
490	9901023394025589364.wav	Въпреки това през юни 1956 г. обещанията на Крушчов бяха подложени на изпитание. По същото това време бунтовете в Полша, където работниците протестираха срещу недостига на храна и намаляването на надниците, се превърнаха в общ протест срещу комунизма.	въпреки това през юни 1956 г. обещанията на крушчов бяха подложени на изпитание. по същото това време бунтовете в полша където работниците протестираха срещу недостига на храна и намаляването на надниците се превърнаха в общ протест срещу комунизма	в ъ п р е к и | т о в а | п р е з | ю н и | 1 9 5 6 | г . | о б е щ а н и я т а | н а | к р у ш ч о в | б я х а | п о д л о ж е н и | н а | и з п и т а н и е . | п о | с ъ щ о т о | т о в а | в р е м е | б у н т о в е т е | в | п о л ш а | к ъ д е т о | р а б о т н и ц и т е | п р о т е с т и р а х а | с р е щ у | н е д о с т и г а | н а | х р а н а | и | н а м а л я в а н е т о | н а | н а д н и ц и т е | с е | п р е в ъ р н а х а | в | о б щ | п р о т е с т | с р е щ у | к о м у н и з м а |	326400	FEMALE
