1090	17489440875552726329.wav	Кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды.	кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды	к е й д е | к ү ш | қ о л д а н ы л ғ а н | н а р а з ы л ы қ т а р ғ а | с а й л а у д ы ң | 2 0 1 1 | ж ы л д а н | б е р і | ө т к і з і л м е у і | с е б е п | б о л д ы |	120960	MALE
534	11538135215802822860.wav	Бұл ойын шөпте ойналады және саңылау айналасындағы шөп қысқарақ орылады және «жасыл» деп аталады.	бұл ойын шөпте ойналады және саңылау айналасындағы шөп қысқарақ орылады және «жасыл» деп аталады	б ұ л | о й ы н | ш ө п т е | о й н а л а д ы | ж ә н е | с а ң ы л а у | а й н а л а с ы н д а ғ ы | ш ө п | қ ы с қ а р а қ | о р ы л а д ы | ж ә н е | « ж а с ы л » | д е п | а т а л а д ы |	145920	MALE
588	17720311115488699423.wav	Ашкөздік пен өзімшілдік әрқашан бізбен бірге болады және бұл ынтымақтастық табиғаты, көпшілік пайда тапқанда, өзімшіл әрекет ету арқылы қысқа мерзімде әрқашан көбірек пайда табуға болады.	ашкөздік пен өзімшілдік әрқашан бізбен бірге болады және бұл ынтымақтастық табиғаты көпшілік пайда тапқанда өзімшіл әрекет ету арқылы қысқа мерзімде әрқашан көбірек пайда табуға болады	а ш к ө з д і к | п е н | ө з і м ш і л д і к | ә р қ а ш а н | б і з б е н | б і р г е | б о л а д ы | ж ә н е | б ұ л | ы н т ы м а қ т а с т ы қ | т а б и ғ а т ы | к ө п ш і л і к | п а й д а | т а п қ а н д а | ө з і м ш і л | ә р е к е т | е т у | а р қ ы л ы | қ ы с қ а | м е р з і м д е | ә р қ а ш а н | к ө б і р е к | п а й д а | т а б у ғ а | б о л а д ы |	228480	MALE
672	7770296867228296988.wav	Осылайша мамырдың кез келген басталу күніндегі штаттың шалғай аймақтарына баруға рұқсат 1 қаңтарда қолжетімді болады.	осылайша мамырдың кез келген басталу күніндегі штаттың шалғай аймақтарына баруға рұқсат 1 қаңтарда қолжетімді болады	о с ы л а й ш а | м а м ы р д ы ң | к е з | к е л г е н | б а с т а л у | к ү н і н д е г і | ш т а т т ы ң | ш а л ғ а й | а й м а қ т а р ы н а | б а р у ғ а | р ұ қ с а т | 1 | қ а ң т а р д а | қ о л ж е т і м д і | б о л а д ы |	222720	FEMALE
1073	10079714068275556418.wav	Хорватия мен Даниядағы H5N1 күдікті жағдайлары расталмаған күйде қалып отыр.	хорватия мен даниядағы h5n1 күдікті жағдайлары расталмаған күйде қалып отыр	х о р в а т и я | м е н | д а н и я д а ғ ы | h 5 n 1 | к ү д і к т і | ж а ғ д а й л а р ы | р а с т а л м а ғ а н | к ү й д е | қ а л ы п | о т ы р |	121920	MALE
410	7598100104290075904.wav	Тутанхамонмен бірге көмілген заттардың көпшілігі жақсы сақталған, оның ішінде қымбат металдар мен сирек кездесетін тастардан жасалған мыңдаған артефактілер бар.	тутанхамонмен бірге көмілген заттардың көпшілігі жақсы сақталған оның ішінде қымбат металдар мен сирек кездесетін тастардан жасалған мыңдаған артефактілер бар	т у т а н х а м о н м е н | б і р г е | к ө м і л г е н | з а т т а р д ы ң | к ө п ш і л і г і | ж а қ с ы | с а қ т а л ғ а н | о н ы ң | і ш і н д е | қ ы м б а т | м е т а л д а р | м е н | с и р е к | к е з д е с е т і н | т а с т а р д а н | ж а с а л ғ а н | м ы ң д а ғ а н | а р т е ф а к т і л е р | б а р |	172800	MALE
1327	5473592003846762028.wav	Шаңғымен жаяу туризм: бұл әрекет жабайы табиғатта шаңғы тебу, шаңғы туры немесе шаңғымен серуендеу деп те аталады.	шаңғымен жаяу туризм бұл әрекет жабайы табиғатта шаңғы тебу шаңғы туры немесе шаңғымен серуендеу деп те аталады	ш а ң ғ ы м е н | ж а я у | т у р и з м | б ұ л | ә р е к е т | ж а б а й ы | т а б и ғ а т т а | ш а ң ғ ы | т е б у | ш а ң ғ ы | т у р ы | н е м е с е | ш а ң ғ ы м е н | с е р у е н д е у | д е п | т е | а т а л а д ы |	223680	FEMALE
885	3465213939973797569.wav	Әдетте Шарлоттадағы отбасылар таксилерді пайдаланбайды, дегенмен белгілі бір жағдайларда олар пайдалы болуы мүмкін.	әдетте шарлоттадағы отбасылар таксилерді пайдаланбайды дегенмен белгілі бір жағдайларда олар пайдалы болуы мүмкін	ә д е т т е | ш а р л о т т а д а ғ ы | о т б а с ы л а р | т а к с и л е р д і | п а й д а л а н б а й д ы | д е г е н м е н | б е л г і л і | б і р | ж а ғ д а й л а р д а | о л а р | п а й д а л ы | б о л у ы | м ү м к і н |	154560	MALE
464	12022356126203506244.wav	Өкінішке орай, DVD жасаған кезде оның шекаралары да кесілуі мүмкін, ал бейненің субтитрлері төменгі жағына тым жақын болған болса, олар толық көрсетілмейді.	өкінішке орай dvd жасаған кезде оның шекаралары да кесілуі мүмкін ал бейненің субтитрлері төменгі жағына тым жақын болған болса олар толық көрсетілмейді	ө к і н і ш к е | о р а й | d v d | ж а с а ғ а н | к е з д е | о н ы ң | ш е к а р а л а р ы | д а | к е с і л у і | м ү м к і н | а л | б е й н е н і ң | с у б т и т р л е р і | т ө м е н г і | ж а ғ ы н а | т ы м | ж а қ ы н | б о л ғ а н | б о л с а | о л а р | т о л ы қ | к ө р с е т і л м е й д і |	259200	FEMALE
439	2191966068042590836.wav	1951 жылғы өрт себебінен Шабдрунг Нгаванг Намгьял суреті сияқты кейбір Друкгиал Дзонг мұралары ғана қалды.	1951 жылғы өрт себебінен шабдрунг нгаванг намгьял суреті сияқты кейбір друкгиал дзонг мұралары ғана қалды	1 9 5 1 | ж ы л ғ ы | ө р т | с е б е б і н е н | ш а б д р у н г | н г а в а н г | н а м г ь я л | с у р е т і | с и я қ т ы | к е й б і р | д р у к г и а л | д з о н г | м ұ р а л а р ы | ғ а н а | қ а л д ы |	193920	MALE
159	4318349679793422989.wav	Жеті ұпай артта, Джонсон 2243 ұпаймен екінші орында.	жеті ұпай артта джонсон 2243 ұпаймен екінші орында	ж е т і | ұ п а й | а р т т а | д ж о н с о н | 2 2 4 3 | ұ п а й м е н | е к і н ш і | о р ы н д а |	130560	FEMALE
471	1095690407200209098.wav	Биліктің теңгерімі еуропалық елдер барлық еуропалық елдердің егеменігін сақтау үшін талпынған жүйе болды.	биліктің теңгерімі еуропалық елдер барлық еуропалық елдердің егеменігін сақтау үшін талпынған жүйе болды	б и л і к т і ң | т е ң г е р і м і | е у р о п а л ы қ | е л д е р | б а р л ы қ | е у р о п а л ы қ | е л д е р д і ң | е г е м е н і г і н | с а қ т а у | ү ш і н | т а л п ы н ғ а н | ж ү й е | б о л д ы |	163200	FEMALE
160	7170800143383884256.wav	Үшіншісінде Гамлин жиырма ұпай артта, бірақ Бойерден бес ұпай алда. Кане және Труекс кіші сәйкесінше 2220 және 2207 ұпаймен бесінші және алтыншы.	үшіншісінде гамлин жиырма ұпай артта бірақ бойерден бес ұпай алда кане және труекс кіші сәйкесінше 2220 және 2207 ұпаймен бесінші және алтыншы	ү ш і н ш і с і н д е | г а м л и н | ж и ы р м а | ұ п а й | а р т т а | б і р а қ | б о й е р д е н | б е с | ұ п а й | а л д а | к а н е | ж ә н е | т р у е к с | к і ш і | с ә й к е с і н ш е | 2 2 2 0 | ж ә н е | 2 2 0 7 | ұ п а й м е н | б е с і н ш і | ж ә н е | а л т ы н ш ы |	301440	FEMALE
208	16965082175093772990.wav	Қонуды доғаруға әкелген нашар ауа райы іздеуге де кедергі жасады.	қонуды доғаруға әкелген нашар ауа райы іздеуге де кедергі жасады	қ о н у д ы | д о ғ а р у ғ а | ә к е л г е н | н а ш а р | а у а | р а й ы | і з д е у г е | д е | к е д е р г і | ж а с а д ы |	183360	FEMALE
128	1832977956785054392.wav	Көптеген олардың жазушылары Джон Стюарт пен Стивен Колберттің жаңалықтар пародия шоуларына үлкен әсерін тигізді.	көптеген олардың жазушылары джон стюарт пен стивен колберттің жаңалықтар пародия шоуларына үлкен әсерін тигізді	к ө п т е г е н | о л а р д ы ң | ж а з у ш ы л а р ы | д ж о н | с т ю а р т | п е н | с т и в е н | к о л б е р т т і ң | ж а ң а л ы қ т а р | п а р о д и я | ш о у л а р ы н а | ү л к е н | ә с е р і н | т и г і з д і |	134400	MALE
1121	728277947185594967.wav	Мемлекеттік бас прокур Кейр Стармер QC бүгін таңертең Хью және Прайсты айыптау туралы мәлімдемені жариялады.	мемлекеттік бас прокур кейр стармер qc бүгін таңертең хью және прайсты айыптау туралы мәлімдемені жариялады	м е м л е к е т т і к | б а с | п р о к у р | к е й р | с т а р м е р | q c | б ү г і н | т а ң е р т е ң | х ь ю | ж ә н е | п р а й с т ы | а й ы п т а у | т у р а л ы | м ә л і м д е м е н і | ж а р и я л а д ы |	184320	MALE
429	10744929206421811039.wav	Түркия территориясы ұзындығы 1600 км-ден (1000 миль) және ені 800 км-ден (500 миль) асатын төртбұрышты пішінде.	түркия территориясы ұзындығы 1600 км-ден 1000 миль және ені 800 км-ден 500 миль асатын төртбұрышты пішінде	т ү р к и я | т е р р и т о р и я с ы | ұ з ы н д ы ғ ы | 1 6 0 0 | к м - д е н | 1 0 0 0 | м и л ь | ж ә н е | е н і | 8 0 0 | к м - д е н | 5 0 0 | м и л ь | а с а т ы н | т ө р т б ұ р ы ш т ы | п і ш і н д е |	216960	FEMALE
337	13765418711653792772.wav	Аяқтай келе, «Анатолия оты» деп аталатын түрік би тобы «Троя» шоуын орындады.	аяқтай келе «анатолия оты» деп аталатын түрік би тобы «троя» шоуын орындады	а я қ т а й | к е л е | « а н а т о л и я | о т ы » | д е п | а т а л а т ы н | т ү р і к | б и | т о б ы | « т р о я » | ш о у ы н | о р ы н д а д ы |	144000	MALE
1509	632060090841097190.wav	Басқаларды жануарлар тәрбиелеген деп болжанады; кейбіреулері жабайы табиғатта өздері өмір сүрген деп айтады.	басқаларды жануарлар тәрбиелеген деп болжанады кейбіреулері жабайы табиғатта өздері өмір сүрген деп айтады	б а с қ а л а р д ы | ж а н у а р л а р | т ә р б и е л е г е н | д е п | б о л ж а н а д ы | к е й б і р е у л е р і | ж а б а й ы | т а б и ғ а т т а | ө з д е р і | ө м і р | с ү р г е н | д е п | а й т а д ы |	193920	FEMALE
197	998968590799113979.wav	Президенттік министр Родриго Ариастың айтуынша Ариастың жеңіл жағдайдағы вирустық тексеруі оң нәтиже берді.	президенттік министр родриго ариастың айтуынша ариастың жеңіл жағдайдағы вирустық тексеруі оң нәтиже берді	п р е з и д е н т т і к | м и н и с т р | р о д р и г о | а р и а с т ы ң | а й т у ы н ш а | а р и а с т ы ң | ж е ң і л | ж а ғ д а й д а ғ ы | в и р у с т ы қ | т е к с е р у і | о ң | н ә т и ж е | б е р д і |	144960	MALE
1185	10749812942716081571.wav	Сондай-ақ құрамында көміртегі сияқты металл емес элементтердің аз мөлшерін қамтитын қорытпалар болуы мүмкін.	сондай-ақ құрамында көміртегі сияқты металл емес элементтердің аз мөлшерін қамтитын қорытпалар болуы мүмкін	с о н д а й - а қ | қ ұ р а м ы н д а | к ө м і р т е г і | с и я қ т ы | м е т а л л | е м е с | э л е м е н т т е р д і ң | а з | м ө л ш е р і н | қ а м т и т ы н | қ о р ы т п а л а р | б о л у ы | м ү м к і н |	158400	MALE
189	9137245315377443497.wav	9 тамыздың түнінде, Моракот циклонының көзі Қытайдың Фуцзянь провинциясынан шамамен жеті километр қашықтықта еді.	9 тамыздың түнінде моракот циклонының көзі қытайдың фуцзянь провинциясынан шамамен жеті километр қашықтықта еді	9 | т а м ы з д ы ң | т ү н і н д е | м о р а к о т | ц и к л о н ы н ы ң | к ө з і | қ ы т а й д ы ң | ф у ц з я н ь | п р о в и н ц и я с ы н а н | ш а м а м е н | ж е т і | к и л о м е т р | қ а ш ы қ т ы қ т а | е д і |	171840	MALE
209	786786682055494169.wav	Хабарларға сай Макбет көшесіндегі пәтер газдың жылыстауына байланысты жарылды.	хабарларға сай макбет көшесіндегі пәтер газдың жылыстауына байланысты жарылды	х а б а р л а р ғ а | с а й | м а к б е т | к ө ш е с і н д е г і | п ә т е р | г а з д ы ң | ж ы л ы с т а у ы н а | б а й л а н ы с т ы | ж а р ы л д ы |	147840	FEMALE
244	8719377105026258397.wav	Пресс-конференцияда Сирипорнның сөздерінен «Мен сияқты айыпталушыны қолдағандарға рахмет» деген дәйексөз келтірілді.	пресс-конференцияда сирипорнның сөздерінен «мен сияқты айыпталушыны қолдағандарға рахмет» деген дәйексөз келтірілді	п р е с с - к о н ф е р е н ц и я д а | с и р и п о р н н ы ң | с ө з д е р і н е н | « м е н | с и я қ т ы | а й ы п т а л у ш ы н ы | қ о л д а ғ а н д а р ғ а | р а х м е т » | д е г е н | д ә й е к с ө з | к е л т і р і л д і |	178560	MALE
918	14745207183674046929.wav	Бұл категориядағы ең танымал қолданбалардың бірі – Google Translate, бұл қажетті тіл деректерін жүктеп алғаннан кейін желіден тыс аудару мүмкіндігін береді.	бұл категориядағы ең танымал қолданбалардың бірі google translate бұл қажетті тіл деректерін жүктеп алғаннан кейін желіден тыс аудару мүмкіндігін береді	б ұ л | к а т е г о р и я д а ғ ы | е ң | т а н ы м а л | қ о л д а н б а л а р д ы ң | б і р і | g o o g l e | t r a n s l a t e | б ұ л | қ а ж е т т і | т і л | д е р е к т е р і н | ж ү к т е п | а л ғ а н н а н | к е й і н | ж е л і д е н | т ы с | а у д а р у | м ү м к і н д і г і н | б е р е д і |	193920	MALE
444	10988627464301031153.wav	Венесуэлалықтардың он сегіз пайызы жұмыссыздар болып, ал жұмыспен қамтылғандардың көпшілік бөлігі бейресми экономикада жұмыс жасайды.	венесуэлалықтардың он сегіз пайызы жұмыссыздар болып ал жұмыспен қамтылғандардың көпшілік бөлігі бейресми экономикада жұмыс жасайды	в е н е с у э л а л ы қ т а р д ы ң | о н | с е г і з | п а й ы з ы | ж ұ м ы с с ы з д а р | б о л ы п | а л | ж ұ м ы с п е н | қ а м т ы л ғ а н д а р д ы ң | к ө п ш і л і к | б ө л і г і | б е й р е с м и | э к о н о м и к а д а | ж ұ м ы с | ж а с а й д ы |	310080	FEMALE
1354	5713868993544017149.wav	Измир – Түркияның үшінші ірі қаласы, шамамен 3,7 миллион халқы бар, Стамбулдан кейінгі екінші үлкен порт және өте жақсы көлік торабы.	измир түркияның үшінші ірі қаласы шамамен 3,7 миллион халқы бар стамбулдан кейінгі екінші үлкен порт және өте жақсы көлік торабы	и з м и р | т ү р к и я н ы ң | ү ш і н ш і | і р і | қ а л а с ы | ш а м а м е н | 3 , 7 | м и л л и о н | х а л қ ы | б а р | с т а м б у л д а н | к е й і н г і | е к і н ш і | ү л к е н | п о р т | ж ә н е | ө т е | ж а қ с ы | к ө л і к | т о р а б ы |	249600	FEMALE
816	3277969501343377477.wav	Бүкіл әлем бойынша 200-ге жуық экскурсиялық сапарларды ұйымдастыратын ұйымдар бар. Олардың көпшілігі дербес қызмет атқарады.	бүкіл әлем бойынша 200-ге жуық экскурсиялық сапарларды ұйымдастыратын ұйымдар бар олардың көпшілігі дербес қызмет атқарады	б ү к і л | ә л е м | б о й ы н ш а | 2 0 0 - г е | ж у ы қ | э к с к у р с и я л ы қ | с а п а р л а р д ы | ұ й ы м д а с т ы р а т ы н | ұ й ы м д а р | б а р | о л а р д ы ң | к ө п ш і л і г і | д е р б е с | қ ы з м е т | а т қ а р а д ы |	232320	FEMALE
834	4832399312955695856.wav	Ол үшін жергілікті полиция өкілімен арнайы үлгіні толтыру немесе миграциялық қызметке бару қажет болуы мүмкін.	ол үшін жергілікті полиция өкілімен арнайы үлгіні толтыру немесе миграциялық қызметке бару қажет болуы мүмкін	о л | ү ш і н | ж е р г і л і к т і | п о л и ц и я | ө к і л і м е н | а р н а й ы | ү л г і н і | т о л т ы р у | н е м е с е | м и г р а ц и я л ы қ | қ ы з м е т к е | б а р у | қ а ж е т | б о л у ы | м ү м к і н |	130560	MALE
366	3492793572205891570.wav	Өйткені розетка ішіне немесе әлі ішінара розеткада болғанда ләмпішкенің металл түпшесіне тисеңіз, ләмпішкенің металл бөлігі тұратын розеткаға ағатын электр тогы сізді электр тогымен қатты соғуы мүмкін.	өйткені розетка ішіне немесе әлі ішінара розеткада болғанда ләмпішкенің металл түпшесіне тисеңіз ләмпішкенің металл бөлігі тұратын розеткаға ағатын электр тогы сізді электр тогымен қатты соғуы мүмкін	ө й т к е н і | р о з е т к а | і ш і н е | н е м е с е | ә л і | і ш і н а р а | р о з е т к а д а | б о л ғ а н д а | л ә м п і ш к е н і ң | м е т а л л | т ү п ш е с і н е | т и с е ң і з | л ә м п і ш к е н і ң | м е т а л л | б ө л і г і | т ұ р а т ы н | р о з е т к а ғ а | а ғ а т ы н | э л е к т р | т о г ы | с і з д і | э л е к т р | т о г ы м е н | қ а т т ы | с о ғ у ы | м ү м к і н |	389760	FEMALE
1096	9248215445199074352.wav	Балтық теңізіндегі круиздардың көпшілігі Ресейдің Санкт-Петербург қаласында ұзақ уақыт болады.	балтық теңізіндегі круиздардың көпшілігі ресейдің санкт-петербург қаласында ұзақ уақыт болады	б а л т ы қ | т е ң і з і н д е г і | к р у и з д а р д ы ң | к ө п ш і л і г і | р е с е й д і ң | с а н к т - п е т е р б у р г | қ а л а с ы н д а | ұ з а қ | у а қ ы т | б о л а д ы |	178560	FEMALE
723	5719296598916997646.wav	Еуропалық зерттеушілердің келуінен кейін бірнеше қысқа жыл ішінде Тайностар санын испандық жаулаушылар айтарлықтай азайтты.	еуропалық зерттеушілердің келуінен кейін бірнеше қысқа жыл ішінде тайностар санын испандық жаулаушылар айтарлықтай азайтты	е у р о п а л ы қ | з е р т т е у ш і л е р д і ң | к е л у і н е н | к е й і н | б і р н е ш е | қ ы с қ а | ж ы л | і ш і н д е | т а й н о с т а р | с а н ы н | и с п а н д ы қ | ж а у л а у ш ы л а р | а й т а р л ы қ т а й | а з а й т т ы |	152640	MALE
